# # This is combined data for gamma_phi = 10^-3, 10^-4. Diff only, not ratio.
================================ 
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[2, 4.4532930836648426, 2, 4.4532930836648426], meas_params:[0.20964311603192232, 0.20964311603192232], noise_params:[0.0001, 0.001, 13.087495426826791], init_params:[7, 0.39269908169872414, 10], optimal_params:[4.4532930836648426, 0.20964311603192232, 13.087495426826791], encoded_infidelity:0.003145662364658519, benchmark_infidelity:0.002608741600165776, diff:0.0005369207644927432, leading_ec_infidelity:0.0017806361428513995, diff_leading:-0.0012437153783586563
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[2, 4.446750592602962, 2, 4.446750592602962], meas_params:[0.20640913476011352, 0.20640913476011352], noise_params:[0.0001, 0.001, 14.090925345374295], init_params:[6, 0.39269908169872414, 20], optimal_params:[4.446750592602962, 0.20640913476011352, 14.090925345374295], encoded_infidelity:0.003339730974020405, benchmark_infidelity:0.002808035055494096, diff:0.0005316959185263093, leading_ec_infidelity:0.0018291895098258015, diff_leading:-0.0012974935912994923
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.732545780137869, 2, 4.732545780137869], meas_params:[0.22473901153778184, 0.22473901153778184], noise_params:[0.0001, 0.001, 13.033246071636423], init_params:[6, 0.39269908169872414, 20], optimal_params:[4.732545780137869, 0.22473901153778184, 13.033246071636423], encoded_infidelity:0.002934418797073235, benchmark_infidelity:0.002597964095338856, diff:0.00033645470173437886, leading_ec_infidelity:0.0016997983475653955, diff_leading:-0.0013633436458310166
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.849701860953902, 2, 4.849701860953902], meas_params:[0.21128007266702503, 0.21128007266702503], noise_params:[8e-05, 0.001, 15.683254204686744], init_params:[6, 0.39269908169872414, 10], optimal_params:[4.849701860953902, 0.21128007266702503, 15.683254204686744], encoded_infidelity:0.0029186656219944984, benchmark_infidelity:0.0030200444881161026, diff:-0.00010137886612160418, leading_ec_infidelity:0.0015727581329837426, diff_leading:-0.0016741369991053467
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.696178779246511, 3, 5.696178779246511], meas_params:[0.04017657698162595, 0.04017657698162595], noise_params:[8e-05, 0.001, 5.480139754284588], init_params:[6, 0.34906585039886584, 10], optimal_params:[5.696178779246511, 0.04017657698162595, 5.480139754284588], encoded_infidelity:0.0021218468891932574, benchmark_infidelity:0.0010580195579302787, diff:0.0010638273312629787, leading_ec_infidelity:0.0015707532236595156, diff_leading:-0.000506925892396537
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.38630233945865, 3, 5.38630233945865], meas_params:[0.04651799501956863, 0.04651799501956863], noise_params:[8e-05, 0.001, 6.092555506893667], init_params:[6.0118869, 0.04968812, 7.03081671], optimal_params:[5.38630233945865, 0.04651799501956863, 6.092555506893667], encoded_infidelity:0.0021584440087160095, benchmark_infidelity:0.0011760722529957635, diff:0.000982371755720246, leading_ec_infidelity:0.0015242414940662696, diff_leading:-0.0005418697383460236
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.20325447676305, 3, 6.20325447676305], meas_params:[0.04354445561956932, 0.04354445561956932], noise_params:[6e-05, 0.001, 10.569577812549781], init_params:[6, 0.34906585039886584, 10], optimal_params:[6.20325447676305, 0.04354445561956932, 10.569577812549781], encoded_infidelity:0.0026394134735031605, benchmark_infidelity:0.001967733933657123, diff:0.0006716795398460373, leading_ec_infidelity:0.0017192873230643668, diff_leading:-0.0010476077832183295
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.650854578148678, 3, 5.650854578148678], meas_params:[0.03939335143749201, 0.03939335143749201], noise_params:[6e-05, 0.001, 7.422862440578188], init_params:[4, 0.34906585039886584, 5], optimal_params:[5.650854578148678, 0.03939335143749201, 7.422862440578188], encoded_infidelity:0.001922867556883312, benchmark_infidelity:0.001383008294899124, diff:0.000539859261984188, leading_ec_infidelity:0.001311494025683757, diff_leading:-0.0007716347636995691
==========================================
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.171783951856817, 2, 4.171783951856817], meas_params:[0.2782476427456462, 0.2782476427456462], noise_params:[8e-05, 0.0001, 49.92782333760846], init_params:[4, 0.39269908169872414, 5], optimal_params:[4.171783951856817, 0.2782476427456462, 49.92782333760846], encoded_infidelity:0.002202177504804226, benchmark_infidelity:0.002158851064697598, diff:4.3326440106628006e-05, leading_ec_infidelity:0.0009001741556703413, diff_leading:-0.0008568477155637133
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.0857507102170185, 2, 4.0857507102170185], meas_params:[0.27275558973779557, 0.27275558973779557], noise_params:[8e-05, 0.0001, 49.05467672591881], init_params:[5, 0.39269908169872414, 10], optimal_params:[4.0857507102170185, 0.27275558973779557, 49.05467672591881], encoded_infidelity:0.002171624816413975, benchmark_infidelity:0.002121177130331109, diff:5.0447686082866205e-05, leading_ec_infidelity:0.0008870776421430193, diff_leading:-0.0008366299560601531
