scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.00964066192361, 1, 8.33046716752763], meas_params:[-0.3119246689422575, 0.0006496240330648852], noise_params:[0.0001, 0, 1], init_params:[5, 8, -0.39269908169872414, 0], optimal_params:[5.00964066192361, 8.33046716752763, -0.3119246689422575, 0.0006496240330648852], encoded_infidelity:2.9469258660874686e-05, benchmark_infidelity:3.333208336853133e-05, diff:-3.8628247076566424e-06, ratio:0.884110913051912
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.69379505670258, 1, 5.49363595226324], meas_params:[-0.30964190481595855, -0.0008740968078266133], noise_params:[0.0002, 0, 1], init_params:[5, 8, -0.1308996938995747, 0], optimal_params:[4.69379505670258, 5.49363595226324, -0.30964190481595855, -0.0008740968078266133], encoded_infidelity:9.329819335912592e-05, benchmark_infidelity:6.666166694480058e-05, diff:2.6636526414325346e-05, ratio:1.3995778628875544
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.826795403645173, 1, 6.363428268098225], meas_params:[-0.3106773510802542, 0.0001024099892915027], noise_params:[0.00015000000000000001, 0, 1], init_params:[8, 8, -0.1308996938995747, 0], optimal_params:[4.826795403645173, 6.363428268098225, -0.3106773510802542, 0.0001024099892915027], encoded_infidelity:5.800953065693282e-05, benchmark_infidelity:4.999718761722338e-05, diff:8.012343039709435e-06, ratio:1.1602558748114322
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.095651858488285, 1, 7.924061904762901], meas_params:[-0.3115576408436276, -0.006583840626901384], noise_params:[0.0001, 0.0001, 1], init_params:[8, 8, -0.1308996938995747, 0], optimal_params:[5.095651858488285, 7.924061904762901, -0.3115576408436276, -0.006583840626901384], encoded_infidelity:3.208896368411818e-05, benchmark_infidelity:4.99975000837205e-05, diff:-1.7908536399602326e-05, ratio:0.641811363175867
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.759401931503074, 1, 5.345682138761943], meas_params:[-0.3091524120040592, -0.004001256860289562], noise_params:[0.0002, 0.0001, 1], init_params:[5, 8, -0.1308996938995747, 0], optimal_params:[4.759401931503074, 5.345682138761943, -0.3091524120040592, -0.004001256860289562], encoded_infidelity:0.00010031606695726225, benchmark_infidelity:8.332625040952113e-05, diff:1.698981654774112e-05, ratio:1.203895128656837
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.900629443069837, 1, 6.174491217050578], meas_params:[-0.310240184048019, -0.0043848654404210685], noise_params:[0.00015000000000000001, 0.0001, 1], init_params:[5, 8, -0.1308996938995747, 0], optimal_params:[4.900629443069837, 6.174491217050578, -0.310240184048019, -0.0043848654404210685], encoded_infidelity:6.269848961204527e-05, benchmark_infidelity:6.666218770234877e-05, diff:-3.963698090303502e-06, ratio:0.9405405338930417
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.5561213594558, 1, 8.335956141862813], meas_params:[-0.3073523691856213, 0.0003275436438764433], noise_params:[0.0003, 0.0001, 1], init_params:[6, 8, -0.3, 0], optimal_params:[4.5561213594558, 8.335956141862813, -0.3073523691856213, 0.0003275436438764433], encoded_infidelity:0.0001929437116939825, benchmark_infidelity:0.00011665250119430315, diff:7.629121049967935e-05, ratio:1.6540040695107283
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.147487362822833, 1, 8.318045771020493], meas_params:[-0.3112768623537048, 0.0002585870357488687], noise_params:[0.0001, 0.00015848931924611142, 1], init_params:[5, 8, -0.39269908169872414, 0], optimal_params:[5.147487362822833, 8.318045771020493, -0.3112768623537048, 0.0002585870357488687], encoded_infidelity:3.3781511060815284e-05, benchmark_infidelity:5.974460265856241e-05, diff:-2.5963091597747123e-05, ratio:0.5654320149030873
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.798514443265862, 1, 5.044286072443832], meas_params:[-0.3088091900093281, -0.0069604445175378785], noise_params:[0.0002, 0.00015848931924611142, 1], init_params:[8, 8, -0.1308996938995747, 0], optimal_params:[4.798514443265862, 5.044286072443832, -0.3088091900093281, -0.0069604445175378785], encoded_infidelity:0.00010477394454933009, benchmark_infidelity:9.307286564208539e-05, diff:1.17010789072447e-05, ratio:1.1257195513055498
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.944825128916171, 1, 6.140359175805637], meas_params:[-0.30992550754051174, -0.004432277694668256], noise_params:[0.00015000000000000001, 0.00015848931924611142, 1], init_params:[5, 8, -0.1308996938995747, 0], optimal_params:[4.944825128916171, 6.140359175805637, -0.30992550754051174, -0.004432277694668256], encoded_infidelity:6.569788306409752e-05, benchmark_infidelity:7.640904660310976e-05, diff:-1.0711163539012247e-05, ratio:0.8598181234396358
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.588539419754914, 1, 8.35334125729947], meas_params:[-0.3069595846098139, 0.0008311610205059936], noise_params:[0.0003, 0.00015848931924611142, 1], init_params:[6, 8, -0.3, 0], optimal_params:[4.588539419754914, 8.35334125729947, -0.3069595846098139, 0.0008311610205059936], encoded_infidelity:0.00020061594888531875, benchmark_infidelity:0.0001263986291076824, diff:7.421731977763635e-05, ratio:1.5871687082492691
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.23188359642385, 1, 8.312205746106269], meas_params:[-0.3107384940728266, 0.0004741499803202846], noise_params:[0.0001, 0.00025118864315095795, 1], init_params:[5, 8, -0.39269908169872414, 0], optimal_params:[5.23188359642385, 8.312205746106269, -0.3107384940728266, 0.0004741499803202846], encoded_infidelity:3.673624810984766e-05, benchmark_infidelity:7.519213529294522e-05, diff:-3.845588718309756e-05, ratio:0.48856503365311904
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.861513790544925, 1, 7.053771811949495], meas_params:[-0.30818257723985387, -0.004759001439073818], noise_params:[0.0002, 0.00025118864315095795, 1], init_params:[5, 8, -0.1308996938995747, 0], optimal_params:[4.861513790544925, 7.053771811949495, -0.30818257723985387, -0.004759001439073818], encoded_infidelity:0.00011242413235790227, benchmark_infidelity:0.00010851962591862385, diff:3.904506439278421e-06, ratio:1.0359797263050492
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.016317817985246, 1, 6.669479658596423], meas_params:[-0.30933777609498014, -0.005227099128819945], noise_params:[0.00015000000000000001, 0.00025118864315095795, 1], init_params:[5, 8, -0.1308996938995747, 0], optimal_params:[5.016317817985246, 6.669479658596423, -0.30933777609498014, -0.005227099128819945], encoded_infidelity:7.088142385125451e-05, benchmark_infidelity:9.185619305329684e-05, diff:-2.097476920204233e-05, ratio:0.7716564501005138
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.6404012823971055, 1, 8.282751926739296], meas_params:[-0.3062742013714835, 0.0008071244749121748], noise_params:[0.0003, 0.00025118864315095795, 1], init_params:[6, 8, -0.3, 0], optimal_params:[4.6404012823971055, 8.282751926739296, -0.3062742013714835, 0.0008071244749121748], encoded_infidelity:0.00021365531569694785, benchmark_infidelity:0.00014184461706590046, diff:7.181069863104739e-05, ratio:1.506263121692411
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.3708063015703935, 1, 8.32055497677978], meas_params:[-0.3096467004604503, 0.00024842965625178055], noise_params:[0.0001, 0.00039810717055349735, 1], init_params:[5, 8, -0.39269908169872414, 0], optimal_params:[5.3708063015703935, 8.32055497677978, -0.3096467004604503, 0.00024842965625178055], encoded_infidelity:4.220474576255295e-05, benchmark_infidelity:9.967335803029442e-05, diff:-5.746861226774147e-05, ratio:0.4234305595455645
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.96351165553696, 1, 4.862596779289105], meas_params:[-0.3069800139426381, -0.007376276723164804], noise_params:[0.0002, 0.00039810717055349735, 1], init_params:[8, 8, -0.1308996938995747, 0], optimal_params:[4.96351165553696, 4.862596779289105, -0.3069800139426381, -0.007376276723164804], encoded_infidelity:0.00012618441439793404, benchmark_infidelity:0.0001329996246255405, diff:-6.81521022760645e-06, ratio:0.9487576732130288
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.552034877700476, 1, 8.433185002160494], meas_params:[-0.30331597299135016, -0.0017409606092766842], noise_params:[0.0004, 0.00039810717055349735, 1], init_params:[8, 8, -0.1308996938995747, 0], optimal_params:[4.552034877700476, 8.433185002160494, -0.30331597299135016, -0.0017409606092766842], encoded_infidelity:0.00036772552263297786, benchmark_infidelity:0.00019964465977262424, diff:0.00016808086286035362, ratio:1.8419001192006903
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.723491209455144, 1, 6.861819786988505], meas_params:[-0.30498876460507657, -0.0004148125521889589], noise_params:[0.00030000000000000003, 0.00039810717055349735, 1], init_params:[5, 8, -0.1308996938995747, 0], optimal_params:[4.723491209455144, 6.861819786988505, -0.30498876460507657, -0.0004148125521889589], encoded_infidelity:0.00023673753605646386, benchmark_infidelity:0.000166323391804446, diff:7.041414425201786e-05, ratio:1.4233568320612833
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.601496989631167, 1, 7.516371037795327], meas_params:[-0.30732519161475585, 0.001939232442982703], noise_params:[0.0001, 0.000630957344480193, 1], init_params:[8, 8, -0.39269908169872414, 0], optimal_params:[5.601496989631167, 7.516371037795327, -0.30732519161475585, 0.001939232442982703], encoded_infidelity:5.332574798744272e-05, benchmark_infidelity:0.00013846979770948398, diff:-8.514404972204126e-05, ratio:0.3851074304255329
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.128500038368417, 1, 4.634914914757026], meas_params:[-0.3045505875606136, 0.0045464686618621715], noise_params:[0.0002, 0.000630957344480193, 1], init_params:[8, 8, -0.1308996938995747, 0], optimal_params:[5.128500038368417, 4.634914914757026, -0.3045505875606136, 0.0045464686618621715], encoded_infidelity:0.0001528411241761285, benchmark_infidelity:0.00017179412453260934, diff:-1.8953000356480842e-05, ratio:0.8896760852092863
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.663567010418651, 1, 8.316555105800468], meas_params:[-0.3007086460353469, 0.0010193936502479743], noise_params:[0.0004, 0.000630957344480193, 1], init_params:[5, 8, -0.39269908169872414, 0], optimal_params:[4.663567010418651, 8.316555105800468, -0.3007086460353469, 0.0010193936502479743], encoded_infidelity:0.0004286991436254217, benchmark_infidelity:0.0002384352804223333, diff:0.0001902638632030884, ratio:1.7979685844564601
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.855810193227121, 1, 7.170753625206279], meas_params:[-0.30246430405780467, -0.003664173303215658], noise_params:[0.00030000000000000003, 0.000630957344480193, 1], init_params:[8, 8, -0.1308996938995747, 0], optimal_params:[4.855810193227121, 7.170753625206279, -0.30246430405780467, -0.003664173303215658], encoded_infidelity:0.0002802751487956945, benchmark_infidelity:0.00020511595203343003, diff:7.515919676226446e-05, ratio:1.3664229720661363
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.978364000523406, 1, 8.247900744758443], meas_params:[-0.3021607151187965, 0.00018824917230659735], noise_params:[0.0001, 0.001, 1], init_params:[5, 8, -0.39269908169872414, 0], optimal_params:[5.978364000523406, 8.247900744758443, -0.3021607151187965, 0.00018824917230659735], encoded_infidelity:7.956382346308022e-05, benchmark_infidelity:0.0001999487592696525, diff:-0.00012038493580657228, ratio:0.39792106614565087
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.387811203646981, 1, 8.520306828909181], meas_params:[-0.29939258847142824, 0.0001984858193583665], noise_params:[0.0002, 0.001, 1], init_params:[5, 8, -0.39269908169872414, 0], optimal_params:[5.387811203646981, 8.520306828909181, -0.29939258847142824, 0.0001984858193583665], encoded_infidelity:0.00021067347460557162, benchmark_infidelity:0.00023327001222028798, diff:-2.259653761471636e-05, ratio:0.9031314081066821
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.831328837067374, 1, 6.25001141910063], meas_params:[-0.295411796284633, -0.00015953696526374198], noise_params:[0.0004, 0.001, 1], init_params:[5, 8, -0.1308996938995747, 0], optimal_params:[4.831328837067374, 6.25001141910063, -0.295411796284633, -0.00015953696526374198], encoded_infidelity:0.0005514131173249837, benchmark_infidelity:0.00029990502082977155, diff:0.0002515080964952121, ratio:1.8386258282683772
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.058707803418427, 1, 7.505234012783777], meas_params:[-0.29724465988026194, -0.0031984111869199135], noise_params:[0.00030000000000000003, 0.001, 1], init_params:[5, 8, -0.1308996938995747, 0], optimal_params:[5.058707803418427, 7.505234012783777, -0.29724465988026194, -0.0031984111869199135], encoded_infidelity:0.0003705815537825563, benchmark_infidelity:0.00026658876600427206, diff:0.00010399278777828425, ratio:1.390086909275906
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 6.508971985326085, 1, 8.417521825826519], meas_params:[-0.2899801093393086, -0.0012149009824524073], noise_params:[0.0001, 0.001584893192461114, 1], init_params:[5, 8, -0.1308996938995747, 0], optimal_params:[6.508971985326085, 8.417521825826519, -0.2899801093393086, -0.0012149009824524073], encoded_infidelity:0.00015569576906326876, benchmark_infidelity:0.0002973631126027554, diff:-0.00014166734353948662, ratio:0.5235880392174308
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.737456248503046, 1, 7.760312402585588], meas_params:[-0.287749218084536, -0.0037320092808410246], noise_params:[0.0002, 0.001584893192461114, 1], init_params:[5, 8, -0.1308996938995747, 0], optimal_params:[5.737456248503046, 7.760312402585588, -0.287749218084536, -0.0037320092808410246], encoded_infidelity:0.00035675263456891315, benchmark_infidelity:0.00033067949495768634, diff:2.6073139611226814e-05, ratio:1.0788471617043056
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 6.047183615313513, 1, 6.881100492030895], meas_params:[-0.2888348520246963, -0.0043358804628621656], noise_params:[0.00015000000000000001, 0.001584893192461114, 1], init_params:[5, 8, -0.1308996938995747, 0], optimal_params:[6.047183615313513, 6.881100492030895, -0.2888348520246963, -0.0043358804628621656], encoded_infidelity:0.0002523953184461192, benchmark_infidelity:0.00031402161615934343, diff:-6.162629771322425e-05, ratio:0.8037514153740508
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.3233429541940485, 1, 7.82470058031379], meas_params:[-0.28576202399208495, 0.0004054910433024314], noise_params:[0.0003, 0.001584893192461114, 1], init_params:[6, 8, -0.3, 0], optimal_params:[5.3233429541940485, 7.82470058031379, -0.28576202399208495, 0.0004054910433024314], encoded_infidelity:0.0005827131814696296, benchmark_infidelity:0.0003639933783895488, diff:0.00021871980308008077, ratio:1.600889510814136
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 6.708998194969602, 1, 6.587496416733904], meas_params:[-0.25745908005324325, -0.005014455378448111], noise_params:[0.0001, 0.0025118864315095794, 1], init_params:[5, 8, -0.1308996938995747, 0], optimal_params:[6.708998194969602, 6.587496416733904, -0.25745908005324325, -0.005014455378448111], encoded_infidelity:0.0004123874562377283, benchmark_infidelity:0.00045169611436224333, diff:-3.9308658124515006e-05, ratio:0.9129754344245014
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.89038153687973, 1, 5.2978248631558955], meas_params:[-0.25842531596521356, 0.0003879826100693497], noise_params:[0.0002, 0.0025118864315095794, 1], init_params:[8, 8, -0.1308996938995747, 0], optimal_params:[5.89038153687973, 5.2978248631558955, -0.25842531596521356, 0.0003879826100693497], encoded_infidelity:0.0007699595707043594, benchmark_infidelity:0.0004850047802603674, diff:0.00028495479044399197, ratio:1.587529859584102
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 6.225676546808651, 1, 6.370528996411924], meas_params:[-0.2583472092043755, 0.001622137075889375], noise_params:[0.00015000000000000001, 0.0025118864315095794, 1], init_params:[8, 8, -0.39269908169872414, 0], optimal_params:[6.225676546808651, 6.370528996411924, -0.2583472092043755, 0.001622137075889375], encoded_infidelity:0.0005913782889582775, benchmark_infidelity:0.0004683507596413561, diff:0.0001230275293169214, ratio:1.2626824592131138
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.14870150362431, 1, 8.03791810489956], meas_params:[-0.060242441225346, 0.0036492267040933507], noise_params:[5e-05, 0.003981071705534973, 1], init_params:[8, 8, -0.25, 0], optimal_params:[4.14870150362431, 8.03791810489956, -0.060242441225346, 0.0036492267040933507], encoded_infidelity:0.0005723827768804313, benchmark_infidelity:0.0006795017997832664, diff:-0.00010711902290283515, ratio:0.8423565280665897
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.043518977882913, 1, 6.513872894770538], meas_params:[-0.0697513249733689, 0.003155541076652555], noise_params:[7.5e-05, 0.003981071705534973, 1], init_params:[8, 8, -0.25, 0], optimal_params:[4.043518977882913, 6.513872894770538, -0.0697513249733689, 0.003155541076652555], encoded_infidelity:0.0007809870965255206, benchmark_infidelity:0.0006878264571108517, diff:9.31606394146689e-05, ratio:1.135442070382086
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.986182801476204, 1, 8.374876876742825], meas_params:[-0.07824055995668563, 0.004768908165329898], noise_params:[0.0001, 0.003981071705534973, 1], init_params:[7, 8, -0.25, 0], optimal_params:[3.986182801476204, 8.374876876742825, -0.07824055995668563, 0.004768908165329898], encoded_infidelity:0.000973747451491036, benchmark_infidelity:0.0006961509583015557, diff:0.0002775964931894803, ratio:1.3987590477024556
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.9465844980781375, 1, 8.409801789872802], meas_params:[-0.09436530343635333, 0.0027845467679150516], noise_params:[0.00015, 0.003981071705534973, 1], init_params:[7, 8, -0.25, 0], optimal_params:[3.9465844980781375, 8.409801789872802, -0.09436530343635333, 0.0027845467679150516], encoded_infidelity:0.001328517062778034, benchmark_infidelity:0.000712799492286087, diff:0.0006157175704919471, ratio:1.8638019206736818
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.966868624983011, 1, 8.733320176944193], meas_params:[-0.11041241179605898, 0.003155457896489801], noise_params:[0.0002, 0.003981071705534973, 1], init_params:[7, 8, -0.25, 0], optimal_params:[3.966868624983011, 8.733320176944193, -0.11041241179605898, 0.003155457896489801], encoded_infidelity:0.0016553274971684573, benchmark_infidelity:0.0007294474017626174, diff:0.0009258800954058399, ratio:2.269289729689307
