scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999998976572336, 1, 8.867561801383918], meas_params:[-0.26108317079239907, -0.00019326480870680314], noise_params:[0.0001, 0, 1], init_params:[8, 8, -0.34906585039886584, 0], optimal_params:[8.999998976572336, 8.867561801383918, -0.26108317079239907, -0.00019326480870680314], encoded_infidelity:7.24768525317554e-06, benchmark_infidelity:3.333208336853133e-05, diff:-2.608439811535579e-05, ratio:0.21743871131733838
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999999828847498, 1, 8.494158429540745], meas_params:[-0.27397907843574587, 0.00024409739274729804], noise_params:[0.0002, 0, 1], init_params:[8, 8, -0.34906585039886584, 0], optimal_params:[8.999999828847498, 8.494158429540745, -0.27397907843574587, 0.00024409739274729804], encoded_infidelity:2.7988568305326034e-05, benchmark_infidelity:6.666166694480058e-05, diff:-3.8673098639474546e-05, ratio:0.4198600123291556
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 7.979842174704141, 1, 8.262296530248115], meas_params:[-0.26376220981808096, 0.00038452657360179047], noise_params:[0.0004, 0, 1], init_params:[8, 8, -0.34906585039886584, 0], optimal_params:[7.979842174704141, 8.262296530248115, -0.26376220981808096, 0.00038452657360179047], encoded_infidelity:0.00012167987151145976, benchmark_infidelity:0.00013331333555555158, diff:-1.1633464044091824e-05, ratio:0.9127359315134369
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.076611017090066, 1, 7.165486537137285], meas_params:[-0.13445245280884188, -6.389310485821313e-05], noise_params:[0.0008, 0, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[5.076611017090066, 7.165486537137285, -0.13445245280884188, -6.389310485821313e-05], encoded_infidelity:0.0003835192005167132, benchmark_infidelity:0.00026658668444101696, diff:0.00011693251607569621, ratio:1.4386284945959777
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.237184098797054, 1, 6.543205100945503], meas_params:[-0.13446801271097097, -0.00029636138056256863], noise_params:[0.0006000000000000001, 0, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[5.237184098797054, 6.543205100945503, -0.13446801271097097, -0.00029636138056256863], encoded_infidelity:0.0002402086583472851, benchmark_infidelity:0.00019995500749914186, diff:4.025365084814325e-05, ratio:1.201313542239326
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999999340990676, 1, 8.271212391175176], meas_params:[-0.24536206759069973, -4.374268445517571e-05], noise_params:[0.0001, 0.0001, 1], init_params:[8, 8, -0.34906585039886584, 0], optimal_params:[8.999999340990676, 8.271212391175176, -0.24536206759069973, -4.374268445517571e-05], encoded_infidelity:1.2445600935273582e-05, benchmark_infidelity:4.99975000837205e-05, diff:-3.755189914844692e-05, ratio:0.2489244645118956
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999999975263682, 1, 8.381356984988614], meas_params:[-0.26023676699889525, -0.000513594356604927], noise_params:[0.0002, 0.0001, 1], init_params:[8, 8, -0.34906585039886584, 0], optimal_params:[8.999999975263682, 8.381356984988614, -0.26023676699889525, -0.000513594356604927], encoded_infidelity:4.243159201366975e-05, benchmark_infidelity:8.332625040952113e-05, diff:-4.089465839585138e-05, ratio:0.5092223855643621
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.551861081508346, 1, 8.358291176689512], meas_params:[-0.13200978755693443, 0.00044912808879703594], noise_params:[0.0004, 0.0001, 1], init_params:[8, 8, -0.11635528346628861, 0], optimal_params:[5.551861081508346, 8.358291176689512, -0.13200978755693443, 0.00044912808879703594], encoded_infidelity:0.000136679331519729, benchmark_infidelity:0.0001499762526457893, diff:-1.329692112606029e-05, ratio:0.9113398228620588
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.147579632808279, 1, 7.98654722050969], meas_params:[-0.1323894829415902, 0.005253112379408816], noise_params:[0.0008, 0.0001, 1], init_params:[5, 8, -0.34906585039886584, 0], optimal_params:[5.147579632808279, 7.98654722050969, -0.1323894829415902, 0.005253112379408816], encoded_infidelity:0.0004179492594037493, benchmark_infidelity:0.00028324626928133423, diff:0.00013470299012241504, ratio:1.4755684530786224
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.318548655587135, 1, 7.232536476311106], meas_params:[-0.1323249417582964, -5.333376977568869e-05], noise_params:[0.0006000000000000001, 0.0001, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[5.318548655587135, 7.232536476311106, -0.1323249417582964, -5.333376977568869e-05], encoded_infidelity:0.0002635181065784309, benchmark_infidelity:0.00021661625838065302, diff:4.6901848197777873e-05, ratio:1.2165204428716458
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.3955222106040654, 1, 7.625735233474127], meas_params:[-0.12861842482546004, 0.0013000001599136912], noise_params:[0.0001, 0.00015848931924611142, 1], init_params:[5, 8, -0.34906585039886584, 0], optimal_params:[6.3955222106040654, 7.625735233474127, -0.12861842482546004, 0.0013000001599136912], encoded_infidelity:1.4990355139410383e-05, benchmark_infidelity:5.974460265856241e-05, diff:-4.4754247519152024e-05, ratio:0.2509072698178203
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.011162522110526, 1, 6.601906673760405], meas_params:[-0.12981772420643573, 0.00055612786579557], noise_params:[0.0002, 0.00015848931924611142, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[6.011162522110526, 6.601906673760405, -0.12981772420643573, 0.00055612786579557], encoded_infidelity:4.707752614108163e-05, benchmark_infidelity:9.307286564208539e-05, diff:-4.599533950100376e-05, ratio:0.5058136527365529
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.61110368625126, 1, 8.238799001660396], meas_params:[-0.13079349020791112, 0.0004605280729839793], noise_params:[0.0004, 0.00015848931924611142, 1], init_params:[8, 8, -0.11635528346628861, 0], optimal_params:[5.61110368625126, 8.238799001660396, -0.13079349020791112, 0.0004605280729839793], encoded_infidelity:0.00014535115575908808, benchmark_infidelity:0.00015972189326485253, diff:-1.4370737505764453e-05, ratio:0.9100265016146863
