scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 5.710759964608005, 1, 9], meas_params:[-0.11390286938177396, 0], noise_params:[0.0001, 0, 11.39859323878823], init_params:[5, -0.34906585039886584, 10], optimal_params:[5.710759964608005, -0.11390286938177396, 11.39859323878823], encoded_infidelity:2.235463375710456e-05, benchmark_infidelity:0.00037979074946059566, diff:-0.0003574361157034911, ratio:0.05886039559640173
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 5.341037930431412, 1, 9], meas_params:[-0.11120097227466194, 0], noise_params:[0.0002, 0, 9.680751975831658], init_params:[5, -0.34906585039886584, 11], optimal_params:[5.341037930431412, -0.11120097227466194, 9.680751975831658], encoded_infidelity:7.510553276157683e-05, benchmark_infidelity:0.0006449151321651359, diff:-0.000569809599403559, ratio:0.11645800976855578
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.9474150696372625, 1, 9], meas_params:[-0.1076641516326475, 0], noise_params:[0.0004, 0, 8.19883370564145], init_params:[5, -0.34906585039886584, 10], optimal_params:[4.9474150696372625, -0.1076641516326475, 8.19883370564145], encoded_infidelity:0.00024398952489546044, benchmark_infidelity:0.0010918346337728257, diff:-0.0008478451088773653, ratio:0.2234674714909497
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.44037682945158, 1, 9], meas_params:[-0.1008128474953092, 0], noise_params:[0.0008, 0, 8.106791217298195], init_params:[4, -0.34906585039886584, 12], optimal_params:[4.44037682945158, -0.1008128474953092, 8.106791217298195], encoded_infidelity:0.0008825406822633441, benchmark_infidelity:0.002156562843991794, diff:-0.0012740221617284497, ratio:0.40923485476999266
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 3.626282972762656, 1, 9], meas_params:[-0.06492047511840923, 0], noise_params:[0.0016, 0, 10.560813732475978], init_params:[4, -0.34906585039886584, 12], optimal_params:[3.626282972762656, -0.06492047511840923, 10.560813732475978], encoded_infidelity:0.003943618068434129, benchmark_infidelity:0.005596911021335416, diff:-0.0016532929529012863, ratio:0.7046061753351204
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 2.9423021455162335, 1, 9], meas_params:[-0.03697432817727346, 0], noise_params:[0.0032, 0, 14.407182893345016], init_params:[3, -0.34906585039886584, 14], optimal_params:[2.9423021455162335, -0.03697432817727346, 14.407182893345016], encoded_infidelity:0.016009581503139914, benchmark_infidelity:0.015105343580073538, diff:0.0009042379230663755, ratio:1.0598621221869602
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 8.959047519323835, 1, 9], meas_params:[-0.11813507374306989, 0], noise_params:[0.0001, 0, 7.313038455326655], init_params:[9, -0.2945243112740431, 10], optimal_params:[8.959047519323835, -0.11813507374306989, 7.313038455326655], encoded_infidelity:2.8088319895536173e-06, benchmark_infidelity:0.00024370111142424378, diff:-0.00024089227943469016, ratio:0.011525724988032164
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 8.899203135227065, 1, 9], meas_params:[-0.12714747474433213, 0], noise_params:[0.0002, 0, 4.844297141814048], init_params:[8, -0.2945243112740431, 13], optimal_params:[8.899203135227065, -0.12714747474433213, 4.844297141814048], encoded_infidelity:9.882122757098877e-06, benchmark_infidelity:0.00032283583828496276, diff:-0.0003129537155278639, ratio:0.030610364727772454
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 7.093929908347256, 1, 9], meas_params:[-0.09381577053639534, 0], noise_params:[0.0004, 0, 6.948212939715571], init_params:[7, -0.2945243112740431, 12], optimal_params:[7.093929908347256, -0.09381577053639534, 6.948212939715571], encoded_infidelity:8.116687464809758e-05, benchmark_infidelity:0.0009254635836648539, diff:-0.0008442967090167564, ratio:0.08770401783576957
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 6.004107610626152, 1, 9], meas_params:[-0.07214658265444049, 0], noise_params:[0.0008, 0, 7.778270105064724], init_params:[6, -0.2945243112740431, 12], optimal_params:[6.004107610626152, -0.07214658265444049, 7.778270105064724], encoded_infidelity:0.00041119281524470974, benchmark_infidelity:0.0020693735969515847, diff:-0.001658180781706875, ratio:0.19870400195036897
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.250884148404195, 1, 9], meas_params:[-0.062184393959179005, 0], noise_params:[0.0016, 0, 7.38137368511417], init_params:[5, -0.2945243112740431, 11], optimal_params:[5.250884148404195, -0.062184393959179005, 7.38137368511417], encoded_infidelity:0.0016244111715156828, benchmark_infidelity:0.0039193545813764885, diff:-0.0022949434098608057, ratio:0.4144588446358903
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 4.420978118192733, 1, 9], meas_params:[-0.0484378132762036, 0], noise_params:[0.0032, 0, 7.9385248673572715], init_params:[5, -0.2945243112740431, 11], optimal_params:[4.420978118192733, -0.0484378132762036, 7.9385248673572715], encoded_infidelity:0.006531054218936405, benchmark_infidelity:0.008387660009632092, diff:-0.0018566057906956868, ratio:0.7786503281530693
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 4.512484635878093, 1, 9], meas_params:[-0.2890491002223602, 0], noise_params:[0.0001, 0, 4.911188187590479], init_params:[5, -0.39269908169872414, 10], optimal_params:[4.512484635878093, -0.2890491002223602, 4.911188187590479], encoded_infidelity:9.230392892545236e-05, benchmark_infidelity:0.00016367612732037795, diff:-7.137219839492559e-05, ratio:0.5639425274571509
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 4.046241730240004, 1, 9], meas_params:[-0.2748145905462498, 0], noise_params:[0.0002, 0, 5.9662381204744666], init_params:[3, -0.39269908169872414, 10], optimal_params:[4.046241730240004, -0.2748145905462498, 5.9662381204744666], encoded_infidelity:0.0003372320456945799, benchmark_infidelity:0.00039757128702200273, diff:-6.0339241327422855e-05, ratio:0.848230384594943
