scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 7.583333333333325, 1, 9], meas_params:[-0.09162978572970282, 0], noise_params:[0, 0.0001, 5.583333333333336], init_params:[5, -0.39269908169872414, 5], optimal_params:[6.80555555555555, -0.17889624832941908, 5.472222222222223], encoded_infidelity:2.3830937223578985e-12, benchmark_infidelity:9.119122766854115e-05, diff:-9.119122528544743e-05, ratio:2.613292729230369e-08
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.235412225851475, 1, 9], meas_params:[-0.001647631527208075, 0], noise_params:[0, 0.0001, 6.120452997203664], init_params:[5, -0.39269908169872414, 5], optimal_params:[8.235412225851475, -0.001647631527208075, 6.120452997203664], encoded_infidelity:1.823430295644357e-12, benchmark_infidelity:0.00010199194323534666, diff:-0.00010199194141191636, ratio:1.7878179764030843e-08
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.21450632807084, 1, 9], meas_params:[0.106477105274118, 0], noise_params:[0, 0.0002, 15.883935576106103], init_params:[6, -0.39269908169872414, 10], optimal_params:[8.21450632807084, 0.106477105274118, 15.883935576106103], encoded_infidelity:1.8737233986598767e-12, benchmark_infidelity:0.0005290442427393627, diff:-0.0005290442408656393, ratio:3.541713995332106e-09
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 7.941097083422532, 1, 9], meas_params:[-0.0008396231580850114, 0], noise_params:[0, 0.0004, 13.020233390836413], init_params:[7, -0.39269908169872414, 9], optimal_params:[7.941097083422532, -0.0008396231580850114, 13.020233390836413], encoded_infidelity:2.5410784587620583e-12, benchmark_infidelity:0.0008668863632449453, diff:-0.0008668863607038668, ratio:2.9312705407548985e-09
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.218187307951624, 1, 9], meas_params:[0.00012487535051519986, 0], noise_params:[0, 0.0008, 4.446692958298755], init_params:[8, -0.39269908169872414, 10], optimal_params:[8.218187307951624, 0.00012487535051519986, 4.446692958298755], encoded_infidelity:2.1206369993365115e-12, benchmark_infidelity:0.0005923654248354282, diff:-0.0005923654227147912, ratio:3.5799472933884854e-09
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.323544442876496, 1, 9], meas_params:[0.0007805882529575048, 0], noise_params:[0, 0.0016, 0.6662398720012712], init_params:[8, -0.39269908169872414, 6], optimal_params:[8.323544442876496, 0.0007805882529575048, 0.6662398720012712], encoded_infidelity:6.15385520319478e-12, benchmark_infidelity:0.00017761662755078067, diff:-0.00017761662139692547, ratio:3.464684184162539e-08
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.845737667831145, 1, 9], meas_params:[-3.442665990003907e-06, 0], noise_params:[0, 0.0032, 0.451363619378907], init_params:[8, -0.39269908169872414, 7], optimal_params:[8.845737667831145, -3.442665990003907e-06, 0.451363619378907], encoded_infidelity:4.890243088251367e-08, benchmark_infidelity:0.0002406403601670215, diff:-0.000240591457736139, ratio:0.00020321790928409477
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.99996098215497, 1, 9], meas_params:[-0.00019113341339759503, 0], noise_params:[0, 0.0048, 0.5791199213150413], init_params:[5, -0.39269908169872414, 7], optimal_params:[8.99996098215497, -0.00019113341339759503, 0.5791199213150413], encoded_infidelity:5.566688652258733e-06, benchmark_infidelity:0.00046297412147711103, diff:-0.0004574074328248523, ratio:0.012023757687575081
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.999817093939967, 1, 9], meas_params:[-3.844685720651617e-05, 0], noise_params:[0, 0.0064, 0.7649139176455257], init_params:[4, -0.39269908169872414, 7], optimal_params:[8.999817093939967, -3.844685720651617e-05, 0.7649139176455257], encoded_infidelity:8.610569002964752e-05, benchmark_infidelity:0.0008149104338223134, diff:-0.0007288047437926659, ratio:0.10566276544745085
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.999819129098606, 1, 9], meas_params:[-0.0006247288358453835, 0], noise_params:[0, 0.0096, 1.2204672411444757], init_params:[5, -0.39269908169872414, 7], optimal_params:[8.999819129098606, -0.0006247288358453835, 1.2204672411444757], encoded_infidelity:0.0017264633370341897, benchmark_infidelity:0.0019470389041843505, diff:-0.0002205755671501608, ratio:0.8867122959504685
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.999983588555768, 1, 9], meas_params:[-0.00015571962944023026, 0], noise_params:[0, 0.0128, 1.8646342719421947], init_params:[6, -0.39269908169872414, 7], optimal_params:[8.999983588555768, -0.00015571962944023026, 1.8646342719421947], encoded_infidelity:0.009187381953044693, benchmark_infidelity:0.0039542452115320925, diff:0.005233136741512601, ratio:2.323422413524273
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.215988683472265, 1, 9], meas_params:[-0.00016024217476334193, 0], noise_params:[0, 0.0001, 9.39558177208492], init_params:[8, -0.34906585039886584, 6], optimal_params:[8.215988683472265, -0.00016024217476334193, 9.39558177208492], encoded_infidelity:2.9669600110082683e-12, benchmark_infidelity:0.0001565562532284126, diff:-0.0001565562502614526, ratio:1.895139893696568e-08
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.19452620678394, 1, 9], meas_params:[0.003399802277437745, 0], noise_params:[0, 0.0002, 2.5768108615483527], init_params:[8, -0.34906585039886584, 10], optimal_params:[8.19452620678394, 0.003399802277437745, 2.5768108615483527], encoded_infidelity:3.5796920982988922e-12, benchmark_infidelity:8.588262974518202e-05, diff:-8.588262616548992e-05, ratio:4.168121200899431e-08
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.38845543629083, 1, 9], meas_params:[-0.00025683411736422554, 0], noise_params:[0, 0.0004, 0.9551639078817756], init_params:[8, -0.34906585039886584, 9], optimal_params:[8.38845543629083, -0.00025683411736422554, 0.9551639078817756], encoded_infidelity:2.512423602496483e-11, benchmark_infidelity:6.367151199226928e-05, diff:-6.367148686803326e-05, ratio:3.9459147802262505e-07
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 7.944424973751719, 1, 9], meas_params:[-0.011568608912320644, 0], noise_params:[0, 0.0008, 0.7130938318856845], init_params:[8, -0.34906585039886584, 6], optimal_params:[7.944424973751719, -0.011568608912320644, 0.7130938318856845], encoded_infidelity:2.225904616182106e-08, benchmark_infidelity:9.506561879957243e-05, diff:-9.50433597534106e-05, ratio:0.00023414402012940114
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.994422130577902, 1, 9], meas_params:[-0.0006279106490065393, 0], noise_params:[0, 0.0016, 0.6822077389784256], init_params:[7, -0.34906585039886584, 4], optimal_params:[8.994422130577902, -0.0006279106490065393, 0.6822077389784256], encoded_infidelity:2.1928145760297113e-06, benchmark_infidelity:0.0001818724293015661, diff:-0.0001796796147255364, ratio:0.012056882862623252
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.886455536236326, 1, 9], meas_params:[-0.028927423334029395, 0], noise_params:[0, 0.0032, 3.658017105586204], init_params:[7, -0.34906585039886584, 4], optimal_params:[8.886455536236326, -0.028927423334029395, 3.658017105586204], encoded_infidelity:0.0032747005614904845, benchmark_infidelity:0.001945244313779404, diff:0.0013294562477110805, ratio:1.6834392154721622
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.999999792388067, 1, 9], meas_params:[-0.00734740643907205, 0], noise_params:[0, 0.0048, 4.53762569966721], init_params:[7, -0.34906585039886584, 3], optimal_params:[8.999999792388067, -0.00734740643907205, 4.53762569966721], encoded_infidelity:0.017835052526800843, benchmark_infidelity:0.003610405673875605, diff:0.014224646852925238, ratio:4.93990264192548
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 8.999899439616904, 1, 9], meas_params:[0.00011991979538404358, 0], noise_params:[0, 0.0064, 2.772723407895432], init_params:[6, -0.34906585039886584, 3], optimal_params:[8.999899439616904, 0.00011991979538404358, 2.772723407895432], encoded_infidelity:0.02258051693882024, benchmark_infidelity:0.002944489510036452, diff:0.019636027428783787, ratio:7.668737437118836
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 8.695453230581165, 1, 9], meas_params:[5.704850882373798e-05, 0], noise_params:[0, 0.0001, 2.924415961111756], init_params:[8, -0.2945243112740431, 6], optimal_params:[8.695453230581165, 5.704850882373798e-05, 2.924415961111756], encoded_infidelity:1.9185155686329836e-09, benchmark_infidelity:4.873670277250053e-05, diff:-4.8734784256931896e-05, ratio:3.9364902824642816e-05
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 8.878865334575984, 1, 9], meas_params:[0.001589157240993358, 0], noise_params:[0, 0.0002, 2.4095254170986795], init_params:[8, -0.2945243112740431, 10], optimal_params:[8.878865334575984, 0.001589157240993358, 2.4095254170986795], encoded_infidelity:1.6553137194286194e-08, benchmark_infidelity:8.030783832635446e-05, diff:-8.029128518916018e-05, ratio:0.00020612106538116072
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 8.989331305389012, 1, 9], meas_params:[-0.0009854492788171623, 0], noise_params:[0, 0.0004, 1.1243793836163483], init_params:[8, -0.2945243112740431, 10], optimal_params:[8.989331305389012, -0.0009854492788171623, 1.1243793836163483], encoded_infidelity:1.7607107860584392e-07, benchmark_infidelity:7.49501980132905e-05, diff:-7.477412693468466e-05, ratio:0.0023491742953717374
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 8.964012721098964, 1, 9], meas_params:[0.0029886741433192768, 0], noise_params:[0, 0.0008, 1.386948132965125], init_params:[8, -0.2945243112740431, 6], optimal_params:[8.964012721098964, 0.0029886741433192768, 1.386948132965125], encoded_infidelity:1.5730141788794505e-05, benchmark_infidelity:0.00018487513054366023, diff:-0.00016914498875486572, ratio:0.08508522342911701
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 8.847132727330084, 1, 9], meas_params:[-0.0001997493414569754, 0], noise_params:[0, 0.0016, 1.3810014554469419], init_params:[7, -0.2945243112740431, 4], optimal_params:[8.847132727330084, -0.0001997493414569754, 1.3810014554469419], encoded_infidelity:0.0007028152332928528, benchmark_infidelity:0.0003680636987463126, diff:0.00033475153454654016, ratio:1.9094934808479094
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 8.999999940882685, 1, 9], meas_params:[-0.002445134545805046, 0], noise_params:[0, 0.0032, 6.061062088412115], init_params:[7, -0.2945243112740431, 4], optimal_params:[8.999999940882685, -0.002445134545805046, 6.061062088412115], encoded_infidelity:0.044686066641664524, benchmark_infidelity:0.0032169427637837034, diff:0.04146912387788082, ratio:13.890849145573753
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 0.0036190393131165788, 1, 9], meas_params:[-0.030116329893336735, 0], noise_params:[0, 0.0048, 56.04137572528643], init_params:[7, -0.2945243112740431, 3], optimal_params:[0.0036190393131165788, -0.030116329893336735, 56.04137572528643], encoded_infidelity:0.39614782719280617, benchmark_infidelity:0.04194883691260909, diff:0.3541989902801971, ratio:9.4435950159498
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[5, 8.999998195553736, 1, 9], meas_params:[-0.001103791348963018, 0], noise_params:[0, 0.0001, 9.21538056430218], init_params:[8, -0.25132741228718347, 6], optimal_params:[8.999998195553736, -0.001103791348963018, 9.21538056430218], encoded_infidelity:3.4104189575723254e-06, benchmark_infidelity:0.00015355429682284427, diff:-0.00015014387786527195, ratio:0.022209856891904033
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[5, 8.999999926327046, 1, 9], meas_params:[-0.0008730829251970037, 0], noise_params:[0, 0.0002, 15.873275096357457], init_params:[8, -0.25132741228718347, 10], optimal_params:[8.999999926327046, -0.0008730829251970037, 15.873275096357457], encoded_infidelity:0.00023512186675811453, benchmark_infidelity:0.0005286894572110734, diff:-0.0002935675904529589, ratio:0.4447258471890517
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[5, 8.965537522282593, 1, 9], meas_params:[0.0009061671868218558, 0], noise_params:[0, 0.0004, 1.6065626323348332], init_params:[8, -0.25132741228718347, 10], optimal_params:[8.965537522282593, 0.0009061671868218558, 1.6065626323348332], encoded_infidelity:3.7013189671419866e-05, benchmark_infidelity:0.00010708697037531412, diff:-7.007378070389425e-05, ratio:0.34563672444647114
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[5, 8.999999564916102, 1, 9], meas_params:[-0.0014994324417502184, 0], noise_params:[0, 0.0008, 9.506155377868225], init_params:[8, -0.25132741228718347, 6], optimal_params:[8.999999564916102, -0.0014994324417502184, 9.506155377868225], encoded_infidelity:0.009573160433841266, benchmark_infidelity:0.0012650806487871646, diff:0.008308079785054101, ratio:7.567233316721012
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[5, 8.995372705062675, 1, 9], meas_params:[-0.00020835259233110712, 0], noise_params:[0, 0.0016, 2.7186538038394454], init_params:[7, -0.25132741228718347, 4], optimal_params:[8.995372705062675, -0.00020835259233110712, 2.7186538038394454], encoded_infidelity:0.011474438719645819, benchmark_infidelity:0.0007241865372288325, diff:0.010750252182416986, ratio:15.844589936114845
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[5, 8.609344275708056, 1, 9], meas_params:[0.1272334108762469, 0], noise_params:[0, 0.0032, 650.5378406514873], init_params:[7, -0.25132741228718347, 4], optimal_params:[8.609344275708056, 0.1272334108762469, 650.5378406514873], encoded_infidelity:0.41666666666615937, benchmark_infidelity:0.21561645029324927, diff:0.2010502163729101, ratio:1.9324437727245376
