scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.7415784242027, 1, 9], meas_params:[-0.302636453628754, -0.0011574480970285577], noise_params:[0.0001, 0, 3.533448959831677], init_params:[2, -0.39269908169872414, 0, 5], optimal_params:[4.7415784242027, -0.302636453628754, -0.0011574480970285577, 3.533448959831677], encoded_infidelity:5.125183468324135e-05, benchmark_infidelity:0.00011776602694923977, diff:-6.651419226599842e-05, ratio:0.4352005074038222
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.7415784242027, 1, 9], meas_params:[-0.302636453628754, -0.0011574480970285577], noise_params:[0.0001, 0, 3.533448959831677], init_params:[2, -0.39269908169872414, 0, 5], optimal_params:[4.7415784242027,-0.302636453628754,-0.0011574480970285577,3.533448959831677], encoded_infidelity:5.125183468324135e-05, benchmark_infidelity:0.00011776602694923977, diff:-6.651419226599842e-05, ratio:0.4352005074038222
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.759907711348589, 1, 9], meas_params:[-0.3055093747873311, 0.001996310252466989], noise_params:[0.0001, 0, 3.2187745850107365], init_params:[4, -0.39269908169872414, 0, 10], optimal_params:[4.759907711348589, -0.3055093747873311, 0.001996310252466989, 3.2187745850107365], encoded_infidelity:4.662121179588308e-05, benchmark_infidelity:0.00010727953668732138, diff:-6.06583248914383e-05, ratio:0.43457693084344684
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.759907711348589, 1, 9], meas_params:[-0.3055093747873311, 0.001996310252466989], noise_params:[0.0001, 0, 3.2187745850107365], init_params:[4, -0.39269908169872414, 0, 10], optimal_params:[4.759907711348589,-0.3055093747873311,0.001996310252466989,3.2187745850107365], encoded_infidelity:4.662121179588308e-05, benchmark_infidelity:0.00010727953668732138, diff:-6.06583248914383e-05, ratio:0.43457693084344684
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.4999172470898374, 1, 9], meas_params:[-0.20373880073424178, 0.002208424358600262], noise_params:[0.0001, 0, 25.28692809209464], init_params:[6, -0.39269908169872414, 0, 15], optimal_params:[3.4999172470898374, -0.20373880073424178, 0.002208424358600262, 25.28692809209464], encoded_infidelity:0.0005407648734377934, benchmark_infidelity:0.0008420988782654737, diff:-0.00030133400482768025, ratio:0.6421631561267988
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.4999172470898374, 1, 9], meas_params:[-0.20373880073424178, 0.002208424358600262], noise_params:[0.0001, 0, 25.28692809209464], init_params:[6, -0.39269908169872414, 0, 15], optimal_params:[3.4999172470898374,-0.20373880073424178,0.002208424358600262,25.28692809209464], encoded_infidelity:0.0005407648734377934, benchmark_infidelity:0.0008420988782654737, diff:-0.00030133400482768025, ratio:0.6421631561267988
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.9590594212089263, 1, 9], meas_params:[-0.24806457391299946, 0.00463786295024193], noise_params:[0.0001, 0, 13.78345902729166], init_params:[8, -0.39269908169872414, 0, 20], optimal_params:[3.9590594212089263, -0.24806457391299946, 0.00463786295024193, 13.78345902729166], encoded_infidelity:0.00026290006622564643, benchmark_infidelity:0.0004592112454616659, diff:-0.00019631117923601948, ratio:0.572503545642357
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.9590594212089263, 1, 9], meas_params:[-0.24806457391299946, 0.00463786295024193], noise_params:[0.0001, 0, 13.78345902729166], init_params:[8, -0.39269908169872414, 0, 20], optimal_params:[3.9590594212089263,-0.24806457391299946,0.00463786295024193,13.78345902729166], encoded_infidelity:0.00026290006622564643, benchmark_infidelity:0.0004592112454616659, diff:-0.00019631117923601948, ratio:0.572503545642357
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.100172544364122, 1, 9], meas_params:[-0.2797861760626691, -0.002078689087909829], noise_params:[0.0002, 0, 6.713095800212745], init_params:[2, -0.39269908169872414, 0, 5], optimal_params:[4.100172544364122, -0.2797861760626691, -0.002078689087909829, 6.713095800212745], encoded_infidelity:0.00032317481022303696, benchmark_infidelity:0.00044731447574875016, diff:-0.0001241396655257132, ratio:0.7224778712606641
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.100172544364122, 1, 9], meas_params:[-0.2797861760626691, -0.002078689087909829], noise_params:[0.0002, 0, 6.713095800212745], init_params:[2, -0.39269908169872414, 0, 5], optimal_params:[4.100172544364122,-0.2797861760626691,-0.002078689087909829,6.713095800212745], encoded_infidelity:0.00032317481022303696, benchmark_infidelity:0.00044731447574875016, diff:-0.0001241396655257132, ratio:0.7224778712606641
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.8289717201637714, 1, 9], meas_params:[-0.25740929377490995, 0.0008799819674092273], noise_params:[0.0002, 0, 10.392541494410331], init_params:[4, -0.39269908169872414, 0, 10], optimal_params:[3.8289717201637714, -0.25740929377490995, 0.0008799819674092273, 10.392541494410331], encoded_infidelity:0.0005377759353484279, benchmark_infidelity:0.0006922963866783372, diff:-0.00015452045132990921, ratio:0.7768001475909706
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.8289717201637714, 1, 9], meas_params:[-0.25740929377490995, 0.0008799819674092273], noise_params:[0.0002, 0, 10.392541494410331], init_params:[4, -0.39269908169872414, 0, 10], optimal_params:[3.8289717201637714,-0.25740929377490995,0.0008799819674092273,10.392541494410331], encoded_infidelity:0.0005377759353484279, benchmark_infidelity:0.0006922963866783372, diff:-0.00015452045132990921, ratio:0.7768001475909706
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.417917194460397, 1, 9], meas_params:[-0.21024742645436256, 0.0034752916609451477], noise_params:[0.0002, 0, 16.697014270026393], init_params:[6, -0.39269908169872414, 0, 15], optimal_params:[3.417917194460397, -0.21024742645436256, 0.0034752916609451477, 16.697014270026393], encoded_infidelity:0.0009181263106334825, benchmark_infidelity:0.0011117416253153545, diff:-0.00019361531468187199, ratio:0.8258450432428924
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.417917194460397, 1, 9], meas_params:[-0.21024742645436256, 0.0034752916609451477], noise_params:[0.0002, 0, 16.697014270026393], init_params:[6, -0.39269908169872414, 0, 15], optimal_params:[3.417917194460397,-0.21024742645436256,0.0034752916609451477,16.697014270026393], encoded_infidelity:0.0009181263106334825, benchmark_infidelity:0.0011117416253153545, diff:-0.00019361531468187199, ratio:0.8258450432428924
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.250764230888017, 1, 9], meas_params:[-0.31131640244908454, -0.00035140074852701774], noise_params:[0.0002, 0, -0.028408226348834553], init_params:[8, -0.39269908169872414, 0, 20], optimal_params:[4.477077720036805,-0.3231640853170882,-0.0005167524078640388,1.6246084121139255], encoded_infidelity:9.676871409025622e-05, benchmark_infidelity:0.0001082940319028225, diff:-1.1525317812566271e-05, ratio:0.8935738414199178
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.2393325576196492, 1, 9], meas_params:[-0.21684368101185303, -0.005357379853666888], noise_params:[0.0004, 0, 12.796357142156175], init_params:[2, -0.39269908169872414, 0, 5], optimal_params:[3.2393325576196492, -0.21684368101185303, -0.005357379853666888, 12.796357142156175], encoded_infidelity:0.0018337045855864043, benchmark_infidelity:0.0017029106681674122, diff:0.00013079391741899205, ratio:1.0768060943324442
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.2393325576196492, 1, 9], meas_params:[-0.21684368101185303, -0.005357379853666888], noise_params:[0.0004, 0, 12.796357142156175], init_params:[2, -0.39269908169872414, 0, 5], optimal_params:[3.2393325576196492,-0.21684368101185303,-0.005357379853666888,12.796357142156175], encoded_infidelity:0.0018337045855864043, benchmark_infidelity:0.0017029106681674122, diff:0.00013079391741899205, ratio:1.0768060943324442
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.3876472691035033, 1, 9], meas_params:[-0.2288448667324921, 0.0007750285640525051], noise_params:[0.0004, 0, 10.336651294053269], init_params:[4, -0.39269908169872414, 0, 10], optimal_params:[3.3876472691035033, -0.2288448667324921, 0.0007750285640525051, 10.336651294053269], encoded_infidelity:0.0014694566213305782, benchmark_infidelity:0.0013760856973563662, diff:9.337092397421198e-05, ratio:1.067852550283452
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.3876472691035033, 1, 9], meas_params:[-0.2288448667324921, 0.0007750285640525051], noise_params:[0.0004, 0, 10.336651294053269], init_params:[4, -0.39269908169872414, 0, 10], optimal_params:[3.3876472691035033,-0.2288448667324921,0.0007750285640525051,10.336651294053269], encoded_infidelity:0.0014694566213305782, benchmark_infidelity:0.0013760856973563662, diff:9.337092397421198e-05, ratio:1.067852550283452
