scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.5122913952664625, 1, 9], meas_params:[-0.2890512029057636, 0], noise_params:[0.0001, 0, 4.9125022620075605], init_params:[4.5, -0.39269908169872414, 8], optimal_params:[4.5122913952664625, -0.2890512029057636, 4.9125022620075605], encoded_infidelity:9.232862018071497e-05, benchmark_infidelity:0.00016371991366803673, diff:-7.139129348732176e-05, ratio:0.5639425169006818
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.614249063621259, 1, 9], meas_params:[-0.04920744837130771, 0], noise_params:[0.0002, 0, 46.54260719886598], init_params:[3, -0.3, 30], optimal_params:[2.614249063621259, -0.04920744837130771, 46.54260719886598], encoded_infidelity:0.0025629469713456254, benchmark_infidelity:0.003092037355852617, diff:-0.0005290903845069916, ratio:0.8288861602834364
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.426445623481812, 1, 9], meas_params:[-0.03952211429239422, 0], noise_params:[0.0004, 0, 39.83494062549721], init_params:[3, -0.3, 40], optimal_params:[2.426445623481812, -0.03952211429239422, 39.83494062549721], encoded_infidelity:0.005364414345877755, benchmark_infidelity:0.005279728933594741, diff:8.46854122830143e-05, ratio:1.0160397272943624
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.2341248451583837, 1, 9], meas_params:[-0.03222358606028622, 0], noise_params:[0.0008, 0, 34.87158577987997], init_params:[2.5, -0.3, 45], optimal_params:[2.2341248451583837, -0.03222358606028622, 34.87158577987997], encoded_infidelity:0.011198894971414686, benchmark_infidelity:0.009202556497863945, diff:0.0019963384735507406, ratio:1.2169330309478807
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 1.9128901655059183, 1, 9], meas_params:[-0.016430936043372545, 0], noise_params:[0.0016, 0, 39.56074305422942], init_params:[2, 0, 30], optimal_params:[1.9128901655059183, -0.016430936043372545, 39.56074305422942], encoded_infidelity:0.029068180148530853, benchmark_infidelity:0.02060692790965446, diff:0.008461252238876393, ratio:1.410602311803704
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 1.7079688786645955, 1, 9], meas_params:[-0.014905906826887898, 0], noise_params:[0.0032, 0, 31.249456596191195], init_params:[4.5, -0.3, 5], optimal_params:[1.7079688786645955, -0.014905906826887898, 31.249456596191195], encoded_infidelity:0.04960309087464909, benchmark_infidelity:0.032116750910065384, diff:0.017486339964583708, ratio:1.5444616740201915
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.5740995646697256, 1, 9], meas_params:[-0.041549858792290756, 0], noise_params:[0.0003, 0.0001, 37.90787298429265], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.5740995646697256, -0.041549858792290756, 37.90787298429265], encoded_infidelity:0.0037882733980932892, benchmark_infidelity:0.004402292488986714, diff:-0.0006140190908934251, ratio:0.8605228770170255
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.5284540147334944, 1, 9], meas_params:[-0.039904764269567794, 0], noise_params:[0.00035, 0.0001, 36.774499841035706], init_params:[4, -0.39269908169872414, 20], optimal_params:[2.5284540147334944, -0.039904764269567794, 36.774499841035706], encoded_infidelity:0.0044590145773645284, benchmark_infidelity:0.0048781411410200315, diff:-0.00041912656365550305, ratio:0.9140806812391937
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.4889121453964176, 1, 9], meas_params:[-0.03849191419129991, 0], noise_params:[0.0004, 0.0001, 35.84878540397483], init_params:[4, -0.39269908169872414, 40], optimal_params:[2.4889121453964176, -0.03849191419129991, 35.84878540397483], encoded_infidelity:0.005135609960653098, benchmark_infidelity:0.005346917357255343, diff:-0.00021130739660224496, ratio:0.9604805194313472
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.453897555716696, 1, 9], meas_params:[-0.037359120968433135, 0], noise_params:[0.00045, 0.0001, 35.1125525198518], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.453897555716696, -0.037359120968433135, 35.1125525198518], encoded_infidelity:0.00582368367811803, benchmark_infidelity:0.005815906519382019, diff:7.777158736010925e-06, ratio:1.0013372221011623
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.4226454099533785, 1, 9], meas_params:[-0.03634786515518902, 0], noise_params:[0.0005, 0.0001, 34.46631148850935], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.4226454099533785, -0.03634786515518902, 34.46631148850935], encoded_infidelity:0.006513633755257708, benchmark_infidelity:0.006276459213187535, diff:0.0002371745420701732, ratio:1.0377879524130171
