scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.718625673895226, 1, 9], meas_params:[-0.11336352437316743, 0], noise_params:[0.0001, 0, 11.321673584580646], init_params:[6, -0.1, 14], optimal_params:[5.718625673895226, -0.11336352437316743, 11.321673584580646], encoded_infidelity:2.2199400531719427e-05, benchmark_infidelity:0.00037722894449687683, diff:-0.0003550295439651574, ratio:0.05884861396658607
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.341750501308411, 1, 9], meas_params:[-0.11137702710713732, 0], noise_params:[0.0002, 0, 9.649910022815426], init_params:[5.5, -0.1, 14], optimal_params:[5.341750501308411, -0.11137702710713732, 9.649910022815426], encoded_infidelity:7.486565208358886e-05, benchmark_infidelity:0.0006428619805420865, diff:-0.0005679963284584977, ratio:0.11645680464795756
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.92781163914432, 1, 9], meas_params:[-0.10789383948339534, 0], noise_params:[0.0004, 0, 8.482725421094568], init_params:[5, -0.1, 14], optimal_params:[4.92781163914432, -0.10789383948339534, 8.482725421094568], encoded_infidelity:0.00025225703776765585, benchmark_infidelity:0.001129592278918068, diff:-0.0008773352411504121, ratio:0.22331689271926466
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.455028180091649, 1, 9], meas_params:[-0.10115810188070062, 0], noise_params:[0.0008, 0, 7.905182246324435], init_params:[4.5, -0.1, 14], optimal_params:[4.455028180091649, -0.10115810188070062, 7.905182246324435], encoded_infidelity:0.000860454176254799, benchmark_infidelity:0.002103058016428516, diff:-0.0012426038401737172, ratio:0.40914428871346653
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.8379383952227, 1, 9], meas_params:[-0.08354393462474749, 0], noise_params:[0.0016, 0, 8.670490879592812], init_params:[4, -0.1, 14], optimal_params:[3.8379383952227, -0.08354393462474749, 8.670490879592812], encoded_infidelity:0.003205079838098812, benchmark_infidelity:0.0046002974459818935, diff:-0.0013952176078830814, ratio:0.696711435669942
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.099623011531662, 1, 9], meas_params:[-0.04884649866422189, 0], noise_params:[0.0032, 0, 11.795721025966305], init_params:[3, -0.1, 14], optimal_params:[3.099623011531662, -0.04884649866422189, 11.795721025966305], encoded_infidelity:0.013099910404679949, benchmark_infidelity:0.012405856088811285, diff:0.0006940543158686641, ratio:1.0559457010382882
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.4955179416995446, 1, 9], meas_params:[-0.06455457845914775, 0], noise_params:[0.0023, 0.0001, 9.695754659394511], init_params:[4, -0.34906585039886584, 20], optimal_params:[3.4955179416995446, -0.06455457845914775, 9.695754659394511], encoded_infidelity:0.007097048031308284, benchmark_infidelity:0.007531397860291222, diff:-0.0004343498289829384, ratio:0.9423281259282532
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.444404110610409, 1, 9], meas_params:[-0.06187255859794212, 0], noise_params:[0.0024, 0.0001, 9.960293337432436], init_params:[4, -0.34906585039886584, 20], optimal_params:[3.444404110610409, -0.06187255859794212, 9.960293337432436], encoded_infidelity:0.007778963340197453, benchmark_infidelity:0.00806126878811586, diff:-0.0002823054479184073, ratio:0.9649800229543779
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.391983462807386, 1, 9], meas_params:[-0.059169639823908333, 0], noise_params:[0.0025, 0.0001, 10.228598887629154], init_params:[4, -0.34906585039886584, 20], optimal_params:[3.391983462807386, -0.059169639823908333, 10.228598887629154], encoded_infidelity:0.008496038504934411, benchmark_infidelity:0.008610939816207419, diff:-0.00011490131127300796, ratio:0.9866563564807709
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.3450094752855106, 1, 9], meas_params:[-0.056817823982670664, 0], noise_params:[0.0026, 0.0001, 10.462065653615984], init_params:[4, -0.34906585039886584, 20], optimal_params:[3.3450094752855106, -0.056817823982670664, 10.462065653615984], encoded_infidelity:0.009215111003734955, benchmark_infidelity:0.009147296145516237, diff:6.781485821871769e-05, ratio:1.0074136506722764
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.3041830374129315, 1, 9], meas_params:[-0.054882405078220134, 0], noise_params:[0.0027, 0.0001, 10.647717608601909], init_params:[3, -0.2, 12], optimal_params:[3.3041830374129315, -0.054882405078220134, 10.647717608601909], encoded_infidelity:0.009919471851258188, benchmark_infidelity:0.009655336347150434, diff:0.0002641355041077542, ratio:1.027356427017243
