scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.303164700925629, 2, 5.047198460696876], meas_params:[-0.32888573417681655, -0.32352265419091486], noise_params:[0.0001, 0, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.303164700925629, 5.047198460696876, -0.32888573417681655, -0.32352265419091486], encoded_infidelity:5.1860266531811305e-05, benchmark_infidelity:3.333208336853133e-05, diff:1.8528183163279976e-05, ratio:1.5558663392991616
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.59212029916198, 2, 5.344610342806652], meas_params:[-0.3287766329462432, -0.3237751623077992], noise_params:[5e-05, 0, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.59212029916198, 5.344610342806652, -0.3287766329462432, -0.3237751623077992], encoded_infidelity:1.5878421597115278e-05, benchmark_infidelity:1.6666354170968845e-05, diff:-7.87932573853567e-07, ratio:0.9527231591402234
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.424712573984206, 2, 5.172245608408563], meas_params:[-0.32884682662202225, -0.3236524424979506], noise_params:[7.500000000000001e-05, 0, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.424712573984206, 5.172245608408563, -0.32884682662202225, -0.3236524424979506], encoded_infidelity:3.1808681742684364e-05, benchmark_infidelity:2.499929688981606e-05, diff:6.809384852868305e-06, ratio:1.2723830547267208
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.500435435479577, 2, 5.25013776645209], meas_params:[-0.32880786027184594, -0.32371511732119523], noise_params:[6.25e-05, 0, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.500435435479577, 5.25013776645209, -0.32880786027184594, -0.32371511732119523], encoded_infidelity:2.329248588850419e-05, benchmark_infidelity:2.0832845060270166e-05, diff:2.459640828234022e-06, ratio:1.1180655268696231
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.312066975830724, 2, 5.0531711714853005], meas_params:[-0.32887197423502185, -0.3235558780378651], noise_params:[0.0001, 1e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.312066975830724, 5.0531711714853005, -0.32887197423502185, -0.3235558780378651], encoded_infidelity:5.22139210107353e-05, benchmark_infidelity:3.49986625373111e-05, diff:1.72152584734242e-05, ratio:1.4918833242576481
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.602759017960013, 2, 5.352112847818899], meas_params:[-0.3287766241904974, -0.32380212551687293], noise_params:[5e-05, 1e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.602759017960013, 5.352112847818899, -0.3287766241904974, -0.32380212551687293], encoded_infidelity:1.6001460290682168e-05, benchmark_infidelity:1.8332975004753393e-05, diff:-2.3315147140712256e-06, ratio:0.8728239844615122
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.434273489147897, 2, 5.17879685300003], meas_params:[-0.32883828757977723, -0.3236697411334143], noise_params:[7.500000000000001e-05, 1e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.434273489147897, 5.17879685300003, -0.32883828757977723, -0.3236697411334143], encoded_infidelity:3.203782609695338e-05, benchmark_infidelity:2.6665896891486796e-05, diff:5.371929205466586e-06, ratio:1.2014531604666032
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.510571791209674, 2, 5.2571935748251395], meas_params:[-0.3287956695093222, -0.323722189296232], noise_params:[6.25e-05, 1e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.510571791209674, 5.2571935748251395, -0.3287956695093222, -0.323722189296232], encoded_infidelity:2.346597686597729e-05, benchmark_infidelity:2.2499455478275365e-05, diff:9.66521387701924e-07, ratio:1.0429575457341695
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.317280882750037, 2, 5.05665128992144], meas_params:[-0.32886430833539493, -0.3235459927753764], noise_params:[0.0001, 1.584893192461114e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.317280882750037, 5.05665128992144, -0.32886430833539493, -0.3235459927753764], encoded_infidelity:5.242250060299991e-05, benchmark_infidelity:3.5973429485469666e-05, diff:1.6449071117530245e-05, ratio:1.4572561291153607
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.609131057396519, 2, 5.356505264635247], meas_params:[-0.32876018728017764, -0.3237976558304181], noise_params:[5e-05, 1.584893192461114e-05, 1], init_params:[4, 8, -0.39269908169872414, -0.1308996938995747], optimal_params:[5.609131057396519, 5.356505264635247, -0.32876018728017764, -0.3237976558304181], encoded_infidelity:1.6074117134556865e-05, benchmark_infidelity:1.9307766322973485e-05, diff:-3.2336491884166207e-06, ratio:0.8325208035810419
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.439844354127988, 2, 5.182806502166654], meas_params:[-0.32881899103031303, -0.3236652561586002], noise_params:[7.500000000000001e-05, 1.584893192461114e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.439844354127988, 5.182806502166654, -0.32881899103031303, -0.3236652561586002], encoded_infidelity:3.217304008595878e-05, benchmark_infidelity:2.764067602389897e-05, diff:4.532364062059813e-06, ratio:1.1639744287781164
