scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.997187937311342, 4, 8.998048668012009], meas_params:[-0.12786211722251883, -0.1294220577320289], noise_params:[0.0001, 0, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.997187937311342, 8.998048668012009, -0.12786211722251883, -0.1294220577320289], encoded_infidelity:1.0887939689285808e-05, benchmark_infidelity:3.333208336853133e-05, diff:-2.244414367924552e-05, ratio:0.32665043972514074
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999977268427681, 4, 8.865790748174556], meas_params:[-0.13938875853123878, -0.14040711833239802], noise_params:[0.0002, 0, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999977268427681, 8.865790748174556, -0.13938875853123878, -0.14040711833239802], encoded_infidelity:4.232980518192875e-05, benchmark_infidelity:6.666166694480058e-05, diff:-2.433186176287183e-05, ratio:0.634994699682204
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.54569331663421, 4, 8.227043759945628], meas_params:[-0.14432867710041586, -0.14477800264687374], noise_params:[0.0004, 0, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.54569331663421, 8.227043759945628, -0.14432867710041586, -0.14477800264687374], encoded_infidelity:0.00019553616386158712, benchmark_infidelity:0.00013331333555555158, diff:6.222282830603554e-05, ratio:1.466741215698615
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.861788948230481, 4, 8.560965093725898], meas_params:[-0.14450440001789383, -0.1449820351654308], noise_params:[0.00030000000000000003, 0, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.861788948230481, 8.560965093725898, -0.14450440001789383, -0.1449820351654308], encoded_infidelity:0.00010354851228056017, benchmark_infidelity:9.99887509376407e-05, diff:3.5597613429194652e-06, ratio:1.0356016182774357
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.99936134731233, 4, 8.73433817565764], meas_params:[-0.14352660621882662, -0.14406515179403112], noise_params:[0.00025, 0, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.99936134731233, 8.73433817565764, -0.14352660621882662, -0.14406515179403112], encoded_infidelity:6.889982515911885e-05, benchmark_infidelity:8.33255213760209e-05, diff:-1.442569621690204e-05, ratio:0.8268754160948651
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.99613597469922, 4, 8.984631938663988], meas_params:[-0.11580476382383245, -0.11953541116135141], noise_params:[5e-05, 0, 1], init_params:[8.5, 8.5, -0.15, -0.15], optimal_params:[8.99613597469922, 8.984631938663988, -0.11580476382383245, -0.11953541116135141], encoded_infidelity:3.521063533740154e-06, benchmark_infidelity:1.6666354170968845e-05, diff:-1.314529063722869e-05, ratio:0.21126777324062282
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.9994935189311, 4, 8.991710929004203], meas_params:[-0.12719958341385856, -0.1310582039260279], noise_params:[0.0001, 1e-05, 1], init_params:[5, 5, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.9994935189311, 8.991710929004203, -0.12719958341385856, -0.1310582039260279], encoded_infidelity:1.1571355258976901e-05, benchmark_infidelity:3.49986625373111e-05, diff:-2.3427307278334197e-05, ratio:0.33062278441757603
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.99977781414482, 4, 8.917389942447976], meas_params:[-0.1390268886220523, -0.14187823365115315], noise_params:[0.0002, 1e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.99977781414482, 8.917389942447976, -0.1390268886220523, -0.14187823365115315], encoded_infidelity:4.399135344179683e-05, benchmark_infidelity:6.832816278679044e-05, diff:-2.4336809344993604e-05, ratio:0.6438246200042931
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.574095510770466, 4, 8.246564247587127], meas_params:[-0.14398772613968874, -0.14459824547901526], noise_params:[0.0004, 1e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.574095510770466, 8.246564247587127, -0.14398772613968874, -0.14459824547901526], encoded_infidelity:0.00020077785459327036, benchmark_infidelity:0.00013497966475650713, diff:6.579818983676322e-05, ratio:1.4874674267080013
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.893998504328813, 4, 8.58391864939907], meas_params:[-0.14416516784681443, -0.14476602095417943], noise_params:[0.00030000000000000003, 1e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.893998504328813, 8.58391864939907, -0.14416516784681443, -0.14476602095417943], encoded_infidelity:0.00010664480569444468, benchmark_infidelity:0.0001016551634570595, diff:4.989642237385183e-06, ratio:1.0490840019109593
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999434403353542, 4, 8.749885332195845], meas_params:[-0.14292197116121289, -0.14371726551187658], noise_params:[0.00025, 1e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999434403353542, 8.749885332195845, -0.14292197116121289, -0.14371726551187658], encoded_infidelity:7.116995290379347e-05, benchmark_infidelity:8.499197555644766e-05, diff:-1.3822022652654198e-05, ratio:0.8373726159186139
