scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 6.292583055412903, 2, 6.292583055412903], meas_params:[-0.3125486600708649, -0.3125486600708649], noise_params:[0.0001, 0.001, 4.119214463749322], init_params:[2, -0.39269908169872414, 5], optimal_params:[6.292583055412903, -0.3125486600708649, 4.119214463749322], encoded_infidelity:0.000278781716046006, benchmark_infidelity:0.0008229739340649411, diff:-0.0005441922180189351, ratio:0.3387491444218782
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 6.292583055412903, 2, 6.292583055412903], meas_params:[-0.3125486600708649, -0.3125486600708649], noise_params:[0.0001, 0.001, 4.119214463749322], init_params:[2, -0.39269908169872414, 5], optimal_params:[6.292583055412903,-0.3125486600708649,4.119214463749322], encoded_infidelity:0.000278781716046006, benchmark_infidelity:0.0008229739340649411, diff:-0.0005441922180189351, ratio:0.3387491444218782
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 6.403602707609274, 2, 6.403602707609274], meas_params:[-0.317323911227938, -0.317323911227938], noise_params:[0.0001, 0.001, 3.637670587139965], init_params:[4, -0.39269908169872414, 10], optimal_params:[6.403602707609274, -0.317323911227938, 3.637670587139965], encoded_infidelity:0.00024320027829694002, benchmark_infidelity:0.0007268563902922409, diff:-0.0004836561119953009, ratio:0.3345919242715312
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 6.403602707609274, 2, 6.403602707609274], meas_params:[-0.317323911227938, -0.317323911227938], noise_params:[0.0001, 0.001, 3.637670587139965], init_params:[4, -0.39269908169872414, 10], optimal_params:[6.403602707609274,-0.317323911227938,3.637670587139965], encoded_infidelity:0.00024320027829694002, benchmark_infidelity:0.0007268563902922409, diff:-0.0004836561119953009, ratio:0.3345919242715312
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 6.283981428827593, 2, 6.283981428827593], meas_params:[-0.3143394025797378, -0.3143394025797378], noise_params:[0.0001, 0.001, 3.326693883227767], init_params:[6, -0.39269908169872414, 15], optimal_params:[6.283981428827593, -0.3143394025797378, 3.326693883227767], encoded_infidelity:0.0002203863935378303, benchmark_infidelity:0.0006647719395814766, diff:-0.00044438554604364633, ratio:0.3315218053225591
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 6.283981428827593, 2, 6.283981428827593], meas_params:[-0.3143394025797378, -0.3143394025797378], noise_params:[0.0001, 0.001, 3.326693883227767], init_params:[6, -0.39269908169872414, 15], optimal_params:[6.283981428827593,-0.3143394025797378,3.326693883227767], encoded_infidelity:0.0002203863935378303, benchmark_infidelity:0.0006647719395814766, diff:-0.00044438554604364633, ratio:0.3315218053225591
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 6.263383517643469, 2, 6.263383517643469], meas_params:[-0.3948267642370358, -0.3948267642370358], noise_params:[0.0001, 0.001, -1.955737325498184], init_params:[8, -0.39269908169872414, 20], optimal_params:[5.777240120101075,-0.3376247105891119,3.8711998760600963], encoded_infidelity:0.0003750535112830855, benchmark_infidelity:0.0007734724706098817, diff:-0.00039841895932679616, ratio:0.48489574682258113
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.68785198933654, 2, 5.68785198933654], meas_params:[-0.30702895604277414, -0.30702895604277414], noise_params:[0.0002, 0.001, 4.707976338503732], init_params:[2, -0.39269908169872414, 5], optimal_params:[5.68785198933654, -0.30702895604277414, 4.707976338503732], encoded_infidelity:0.0007969582598933433, benchmark_infidelity:0.0010971253009045556, diff:-0.0003001670410112123, ratio:0.7264058710853435
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.68785198933654, 2, 5.68785198933654], meas_params:[-0.30702895604277414, -0.30702895604277414], noise_params:[0.0002, 0.001, 4.707976338503732], init_params:[2, -0.39269908169872414, 5], optimal_params:[5.68785198933654,-0.30702895604277414,4.707976338503732], encoded_infidelity:0.0007969582598933433, benchmark_infidelity:0.0010971253009045556, diff:-0.0003001670410112123, ratio:0.7264058710853435
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.622841580951954, 2, 5.622841580951954], meas_params:[-0.31134233371188014, -0.31134233371188014], noise_params:[0.0002, 0.001, 3.9531787148152557], init_params:[4, -0.39269908169872414, 10], optimal_params:[5.622841580951954, -0.31134233371188014, 3.9531787148152557], encoded_infidelity:0.0006602307529427476, benchmark_infidelity:0.0009214193720318287, diff:-0.0002611886190890811, ratio:0.7165366531060312
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.622841580951954, 2, 5.622841580951954], meas_params:[-0.31134233371188014, -0.31134233371188014], noise_params:[0.0002, 0.001, 3.9531787148152557], init_params:[4, -0.39269908169872414, 10], optimal_params:[5.622841580951954,-0.31134233371188014,3.9531787148152557], encoded_infidelity:0.0006602307529427476, benchmark_infidelity:0.0009214193720318287, diff:-0.0002611886190890811, ratio:0.7165366531060312
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.5840979293173, 2, 5.5840979293173], meas_params:[-0.32282710596357045, -0.32282710596357045], noise_params:[0.0002, 0.001, -1.2314392773375262], init_params:[6, -0.39269908169872414, 15], optimal_params:[6.1312087324839375,-0.3225785402870135,2.568613449094247], encoded_infidelity:0.0004890107285069334, benchmark_infidelity:0.0005989254860884197, diff:-0.00010991475758148628, ratio:0.8164800795181731
