#This data misses one location of the leading EC. The location at the end of the output mode should be pushed to the trailing EC.
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.954636447360878, 2, 5.954636447360878], meas_params:[0.2572052786548443, 0.2572052786548443], noise_params:[9e-05, 0.001, 12.268110679356688], init_params:[4, 0.39269908169872414, 5], optimal_params:[5.954636447360878, 0.2572052786548443, 12.268110679356688], encoded_infidelity:0.001335645117137907, benchmark_infidelity:0.0024051927559579633, diff:-0.0010695476388200564, leading_ec_infidelity:0.0004035054166330321, diff_leading:-0.0014730530554530885
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.908050389316516, 2, 5.908050389316516], meas_params:[0.2557663788724117, 0.2557663788724117], noise_params:[9e-05, 0.001, 12.617314154029884], init_params:[5, 0.39269908169872414, 10], optimal_params:[5.908050389316516, 0.2557663788724117, 12.617314154029884], encoded_infidelity:0.0014028551682178092, benchmark_infidelity:0.0024734348372200676, diff:-0.0010705796690022584, leading_ec_infidelity:0.0004288076020994014, diff_leading:-0.0014993872711016598
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.911739278957725, 2, 5.911739278957725], meas_params:[0.2558569925260472, 0.2558569925260472], noise_params:[9e-05, 0.001, 12.610964518083204], init_params:[6, 0.39269908169872414, 15], optimal_params:[5.911739278957725, 0.2558569925260472, 12.610964518083204], encoded_infidelity:0.0014016160145358114, benchmark_infidelity:0.0024721940864463887, diff:-0.0010705780719105773, leading_ec_infidelity:0.0004281753101635921, diff_leading:-0.0014987533820741694
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.907409690772109, 2, 5.907409690772109], meas_params:[0.255764780681385, 0.255764780681385], noise_params:[9e-05, 0.001, 12.62225341180819], init_params:[7, 0.39269908169872414, 20], optimal_params:[5.907409690772109, 0.255764780681385, 12.62225341180819], encoded_infidelity:0.0014038204195725434, benchmark_infidelity:0.0024743999902326896, diff:-0.0010705795706601462, leading_ec_infidelity:0.0004292067975768532, diff_leading:-0.0014997863682369994
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.882735854962789, 2, 5.882735854962789], meas_params:[0.26310348182528753, 0.26310348182528753], noise_params:[0.0001, 0.001, 11.610613207973959], init_params:[4, 0.39269908169872414, 5], optimal_params:[5.882735854962789, 0.26310348182528753, 11.610613207973959], encoded_infidelity:0.001344594175626157, benchmark_infidelity:0.0023152283042010557, diff:-0.0009706341285748987, leading_ec_infidelity:0.0004004248428181034, diff_leading:-0.0013710589713930021
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.8709954311638946, 2, 5.8709954311638946], meas_params:[0.2631324205584163, 0.2631324205584163], noise_params:[0.0001, 0.001, 11.566391367055257], init_params:[5, 0.39269908169872414, 10], optimal_params:[5.8709954311638946, 0.2631324205584163, 11.566391367055257], encoded_infidelity:0.001335751602587476, benchmark_infidelity:0.0023064362988494125, diff:-0.0009706846962619364, leading_ec_infidelity:0.000398733742851598, diff_leading:-0.0013694184391135344
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.871854532855118, 2, 5.871854532855118], meas_params:[0.26309989536139633, 0.26309989536139633], noise_params:[0.0001, 0.001, 11.568467606225703], init_params:[6, 0.39269908169872414, 15], optimal_params:[5.871854532855118, 0.26309989536139633, 11.568467606225703], encoded_infidelity:0.0013361649232753736, benchmark_infidelity:0.002306849092676644, diff:-0.0009706841694012702, leading_ec_infidelity:0.000398725547497647, diff_leading:-0.0013694097168989172
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.871250912177014, 2, 5.871250912177014], meas_params:[0.26309559088678536, 0.26309559088678536], noise_params:[0.0001, 0.001, 11.570314413991735], init_params:[7, 0.39269908169872414, 20], optimal_params:[5.871250912177014, 0.26309559088678536, 11.570314413991735], encoded_infidelity:0.0013365318483188338, benchmark_infidelity:0.0023072162710303656, diff:-0.0009706844227115319, leading_ec_infidelity:0.00039890645122575563, diff_leading:-0.0013695908739372875
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.507509020341269, 2, 5.507509020341269], meas_params:[0.29832314044424313, 0.29832314044424313], noise_params:[0.0002, 0.001, 6.258548135979474], init_params:[4, 0.39269908169872414, 5], optimal_params:[5.507509020341269, 0.29832314044424313, 6.258548135979474], encoded_infidelity:0.0011215822967240996, benchmark_infidelity:0.0014578501615843953, diff:-0.0003362678648602957, leading_ec_infidelity:0.0002921448629225054, diff_leading:-0.0006284127277828011
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.510332201306167, 2, 5.510332201306167], meas_params:[0.298357979862403, 0.298357979862403], noise_params:[0.0002, 0.001, 6.26892003383214], init_params:[5, 0.39269908169872414, 10], optimal_params:[5.510332201306167, 0.298357979862403, 6.26892003383214], encoded_infidelity:0.001123998496242784, benchmark_infidelity:0.001460262056856787, diff:-0.000336263560614003, leading_ec_infidelity:0.00029243967553582717, diff_leading:-0.0006287032361498301
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.093606343308326, 2, 5.093606343308326], meas_params:[0.31690927174221756, 0.31690927174221756], noise_params:[0.0004, 0.001, 2.750991955057615], init_params:[4, 0.39269908169872414, 5], optimal_params:[5.093606343308326, 0.31690927174221756, 2.750991955057615], encoded_infidelity:0.0012458124230502188, benchmark_infidelity:0.0008245790641628892, diff:0.0004212333588873296, leading_ec_infidelity:0.0003433063136085712, diff_leading:7.792704527875838e-05
