scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.437476739026142, 2, 4.437476739026142], meas_params:[0.3214903414826976, 0.3214903414826976], noise_params:[0.0004, 0.0001, 4.9955491175850595], init_params:[4, 0.39269908169872414, 5], optimal_params:[4.437476739026142, 0.3214903414826976, 4.9955491175850595], encoded_infidelity:0.0009433027218191947, benchmark_infidelity:0.0007487400039538628, diff:0.00019456271786533197, leading_ec_infidelity:0.00017377772491722343, diff_leading:2.0784992948108538e-05
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.438073380742474, 2, 4.438073380742474], meas_params:[0.32138613804919797, 0.32138613804919797], noise_params:[0.0004, 0.0001, 4.999486155781058], init_params:[5, 0.39269908169872414, 10], optimal_params:[4.438073380742474, 0.32138613804919797, 4.999486155781058], encoded_infidelity:0.0009438942509142345, benchmark_infidelity:0.0007493296258814786, diff:0.00019456462503275596, leading_ec_infidelity:0.00017359408588857317, diff_leading:2.0970539144182787e-05
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.388898028542561, 3, 5.388898028542561], meas_params:[0.12596987911921942, 0.12596987911921942], noise_params:[0.0002, 0.0001, 5.886052741761629], init_params:[4, 0.34906585039886584, 5], optimal_params:[5.388898028542561, 0.12596987911921942, 5.886052741761629], encoded_infidelity:0.0004279527187710519, benchmark_infidelity:0.0004902590722254407, diff:-6.230635345438884e-05, leading_ec_infidelity:7.84621604296154e-05, diff_leading:-0.00014076851388400424
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.248819330705785, 3, 5.248819330705785], meas_params:[0.12575635738046043, 0.12575635738046043], noise_params:[0.0002, 0.0001, 9.114181626749552], init_params:[5, 0.34906585039886584, 10], optimal_params:[5.248819330705785, 0.12575635738046043, 9.114181626749552], encoded_infidelity:0.0006680571032147142, benchmark_infidelity:0.0007589270451319186, diff:-9.086994191720432e-05, leading_ec_infidelity:0.00010351926766871689, diff_leading:-0.0001943892095859212
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.2149903382860305, 3, 5.2149903382860305], meas_params:[0.12590002232714204, 0.12590002232714204], noise_params:[0.0002, 0.0001, 9.317194426959226], init_params:[6, 0.34906585039886584, 15], optimal_params:[5.2149903382860305, 0.12590002232714204, 9.317194426959226], encoded_infidelity:0.0006853459861124733, benchmark_infidelity:0.0007758182952107839, diff:-9.047230909831061e-05, leading_ec_infidelity:0.00010987917259486224, diff_leading:-0.00020035148169317285
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.133819246063199, 3, 5.133819246063199], meas_params:[0.13355227164318945, 0.13355227164318945], noise_params:[0.0004, 0.0001, 3.920473957510082], init_params:[4, 0.34906585039886584, 5], optimal_params:[5.133819246063199, 0.13355227164318945, 3.920473957510082], encoded_infidelity:0.0009230207919034283, benchmark_infidelity:0.0005877062127487287, diff:0.00033531457915469964, leading_ec_infidelity:0.00021253062348647322, diff_leading:0.00012278395566822642
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.645627525385734, 3, 5.645627525385734], meas_params:[0.16610622710825185, 0.16610622710825185], noise_params:[0.0004, 0.0001, 2.6501172738175214], init_params:[5, 0.34906585039886584, 10], optimal_params:[5.645627525385734, 0.16610622710825185, 2.6501172738175214], encoded_infidelity:0.0007876361191048176, benchmark_infidelity:0.0003973508411684312, diff:0.00039028527793638634, leading_ec_infidelity:0.00020036489913766165, diff_leading:0.0001899203787987247
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.856022474364849, 3, 4.856022474364849], meas_params:[0.1233222861396599, 0.1233222861396599], noise_params:[0.0004, 0.0001, 7.9533753228097055], init_params:[7, 0.34906585039886584, 20], optimal_params:[4.856022474364849, 0.1233222861396599, 7.9533753228097055], encoded_infidelity:0.001658659517474903, benchmark_infidelity:0.0011915052943605176, diff:0.0004671542231143855, leading_ec_infidelity:0.00028506407877182394, diff_leading:0.00018209014434256154
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.356898912774128, 4, 8.356898912774128], meas_params:[0.09008937937493214, 0.09008937937493214], noise_params:[8e-05, 0.0001, 6.981167029856829], init_params:[4, 0.2945243112740431, 5], optimal_params:[8.356898912774128, 0.09008937937493214, 6.981167029856829], encoded_infidelity:5.9211077869769646e-05, benchmark_infidelity:0.0003024254691377237, diff:-0.00024321439126795408, leading_ec_infidelity:8.74156091290601e-06, diff_leading:-0.0002519559521808601
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.583838835835447, 4, 8.583838835835447], meas_params:[0.09163271443209445, 0.09163271443209445], noise_params:[8e-05, 0.0001, 24.232678569401095], init_params:[5, 0.2945243112740431, 10], optimal_params:[8.583838835835447, 0.09163271443209445, 24.232678569401095], encoded_infidelity:0.0005255369564928225, benchmark_infidelity:0.0010489775801865164, diff:-0.0005234406236936939, leading_ec_infidelity:5.4489979670946376e-05, diff_leading:-0.0005779306033646403
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.694316112755217, 4, 8.694316112755217], meas_params:[0.10312348190146409, 0.10312348190146409], noise_params:[8e-05, 0.0001, 21.510300203695323], init_params:[6, 0.2945243112740431, 15], optimal_params:[8.694316112755217, 0.10312348190146409, 21.510300203695323], encoded_infidelity:0.00039237264835279007, benchmark_infidelity:0.000931242148025091, diff:-0.0005388694996723009, leading_ec_infidelity:5.9719049038786665e-05, diff_leading:-0.0005985885487110876
