scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 5.383755040551357, 3, 5.596486431017723], meas_params:[-0.10209632076420763, -0.12529554969524298], noise_params:[0.0001, 0, 5.436609361690179], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[5.383755040551357, 5.596486431017723, -0.10209632076420763, -0.12529554969524298, 5.436609361690179], encoded_infidelity:0.0001331972156576322, benchmark_infidelity:0.00018118337173278487, diff:-4.7986156075152664e-05, ratio:0.735151434614407
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 5.236576682591156, 3, 6.220493744630051], meas_params:[-0.10790752404955997, -0.19018721468323102], noise_params:[0.0001, 0, 10.26269684176443], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[5.236576682591156, 6.220493744630051, -0.10790752404955997, -0.19018721468323102, 10.26269684176443], encoded_infidelity:0.00019243549081637834, benchmark_infidelity:0.00034195827856497996, diff:-0.00014952278774860162, ratio:0.5627455244655267
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 5.6740700381387175, 3, 8.470067465341451], meas_params:[-0.08601913680051171, -0.26610554163845], noise_params:[0.0001, 0, 15.943382942689567], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[5.6740700381387175, 8.470067465341451, -0.08601913680051171, -0.26610554163845, 15.943382942689567], encoded_infidelity:0.0002566324230229844, benchmark_infidelity:0.0005311284994321541, diff:-0.00027449607640916973, ratio:0.4831833036588284
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 6.045583272035792, 3, 8.959105803187093], meas_params:[-0.17210718025704885, -0.2942125233407846], noise_params:[0.0001, 0, 29.820095237484594], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[6.045583272035792, 8.959105803187093, -0.17210718025704885, -0.2942125233407846, 29.820095237484594], encoded_infidelity:0.00028967232742527216, benchmark_infidelity:0.0009928925471003325, diff:-0.0007032202196750603, ratio:0.29174589765150144
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 5.253853114528232, 3, 6.215799875788258], meas_params:[-0.11898843548141169, -0.21037418748569908], noise_params:[0.0002, 0, 7.084370723300608], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[5.253853114528232, 6.215799875788258, -0.11898843548141169, -0.21037418748569908, 7.084370723300608], encoded_infidelity:0.0004332589632435324, benchmark_infidelity:0.0004720405387436122, diff:-3.878157550007977e-05, ratio:0.9178427013847132
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 5.143630415961671, 3, 6.332520826206952], meas_params:[-0.12130577547047974, -0.21541475683978398], noise_params:[0.0002, 0, 8.888963001675496], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[5.143630415961671, 6.332520826206952, -0.12130577547047974, -0.21541475683978398, 8.888963001675496], encoded_infidelity:0.0004930815846889702, benchmark_infidelity:0.0005922026601478114, diff:-9.912107545884119e-05, ratio:0.8326230492883957
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.465376872485832, 3, 5.167577463279796], meas_params:[-0.07885444914432968, -0.15204910800799765], noise_params:[0.0002, 0, 16.773234425670417], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[4.465376872485832, 5.167577463279796, -0.07885444914432968, -0.15204910800799765, 16.773234425670417], encoded_infidelity:0.0010691783171239422, benchmark_infidelity:0.001116810231258647, diff:-4.76319141347048e-05, ratio:0.9573500378116848
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 5.701655523987654, 3, 7.950902634411971], meas_params:[-0.1827594946085327, -0.29038073054884006], noise_params:[0.0002, 0, 21.60516901166703], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[5.701655523987654, 7.950902634411971, -0.1827594946085327, -0.29038073054884006, 21.60516901166703], encoded_infidelity:0.0007874909970936317, benchmark_infidelity:0.0014380134827861601, diff:-0.0006505224856925285, ratio:0.5476242097312349
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.2857259236616585, 3, 4.737342261922928], meas_params:[-0.07081983274528683, -0.13486389754427572], noise_params:[0.0004, 0, 10.91785417203161], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[4.2857259236616585, 4.737342261922928, -0.07081983274528683, -0.13486389754427572, 10.91785417203161], encoded_infidelity:0.002183990762904764, benchmark_infidelity:0.0014533327879769908, diff:0.0007306579749277731, ratio:1.5027465016769035
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.810107098615681, 3, 5.984436031170398], meas_params:[-0.12456236346818784, -0.22826436124533395], noise_params:[0.0004, 0, 9.403724680672235], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[4.810107098615681, 5.984436031170398, -0.12456236346818784, -0.22826436124533395, 9.403724680672235], encoded_infidelity:0.001522323348048027, benchmark_infidelity:0.0012520632030398327, diff:0.0002702601450081943, ratio:1.215851839070137
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.209334373826442, 3, 4.958081351640818], meas_params:[-0.08030667726611643, -0.16735007500439342], noise_params:[0.0004, 0, 15.840898670222916], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[4.209334373826442, 4.958081351640818, -0.08030667726611643, -0.16735007500439342, 15.840898670222916], encoded_infidelity:0.002755540058442918, benchmark_infidelity:0.002107109962084963, diff:0.0006484300963579548, ratio:1.3077343413612548
