scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 6.602367446153114, 2, 5.710763630258237], meas_params:[-0.28057508399595776, -0.3020156636490192], noise_params:[0.0001, 0.001584893192461114, 3.1687928849746942], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[6.602367446153114, 5.710763630258237, -0.28057508399595776, -0.3020156636490192, 3.1687928849746942], encoded_infidelity:0.00047485426805360387, benchmark_infidelity:0.0009414644246129589, diff:-0.000466610156559355, ratio:0.5043783446717267
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 5.706218864697016, 2, 5.026130353539395], meas_params:[-0.28103583558656364, -0.316106877137732], noise_params:[0.0002, 0.001584893192461114, 3.993452524495833], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[5.706218864697016, 5.026130353539395, -0.28103583558656364, -0.316106877137732, 3.993452524495833], encoded_infidelity:0.0013079814529796119, benchmark_infidelity:0.0013189285412243956, diff:-1.0947088244783743e-05, ratio:0.9917000141382782
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 3.7779711027529075, 2, 3.5988003985149195], meas_params:[-0.03384281226230193, -0.26619429256928806], noise_params:[0.0003, 0.001584893192461114, 20.53090703634576], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[3.7779711027529075, 3.5988003985149195, -0.03384281226230193, -0.26619429256928806, 20.53090703634576], encoded_infidelity:0.009889716730067222, benchmark_infidelity:0.007411152989474368, diff:0.002478563740592854, ratio:1.3344369957161881
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 4.113098105632568, 2, 3.7931906825813115], meas_params:[-0.17987833310785195, -0.29331234428604913], noise_params:[0.0004, 0.001584893192461114, 11.367256863975449], init_params:[4, 5, -0.3, -0.3, 10], optimal_params:[4.113098105632568, 3.7931906825813115, -0.17987833310785195, -0.29331234428604913, 11.367256863975449], encoded_infidelity:0.007843386938325647, benchmark_infidelity:0.004495429894087355, diff:0.003347957044238292, ratio:1.7447468035574787
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 3.189343761199634, 2, 3.6095309760433665], meas_params:[-0.04837040375123469, -0.2771501511538733], noise_params:[0.0005, 0.001584893192461114, 18.700150114917612], init_params:[4, 5, -0.3, -0.3, 15], optimal_params:[3.189343761199634, 3.6095309760433665, -0.04837040375123469, -0.2771501511538733, 18.700150114917612], encoded_infidelity:0.014203791081723871, benchmark_infidelity:0.007986126596028487, diff:0.0062176644856953844, ratio:1.7785582172949073
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 5.877318898461537, 2, 6.958586661498602], meas_params:[-0.030108098746120013, -0.08310721575721192], noise_params:[0, 0.0001, 8.561947683690974], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[5.877318898461537, 6.958586661498602, -0.030108098746120013, -0.08310721575721192, 8.561947683690974], encoded_infidelity:1.4632739464559563e-12, benchmark_infidelity:0.00014266858785838554, diff:-0.0001426685863951116, ratio:1.0256454966165493e-08
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 6.294599439154304, 2, 8.221779514779245], meas_params:[0.10703051532122493, -0.3003870246277339], noise_params:[0, 0.0001, 9.550480991727941], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[6.294599439154304, 8.221779514779245, 0.10703051532122493, -0.3003870246277339, 9.550480991727941], encoded_infidelity:1.4325207686738395e-12, benchmark_infidelity:0.0001591366843746167, diff:-0.00015913668294209593, ratio:9.001826161600836e-09
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 6.644988477652148, 2, 7.771904202935307], meas_params:[-0.0813895792473418, -0.1025968047771938], noise_params:[0, 0.0001, 14.562307772899091], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[6.644988477652148, 7.771904202935307, -0.0813895792473418, -0.1025968047771938, 14.562307772899091], encoded_infidelity:1.3992140779350848e-12, benchmark_infidelity:0.00024261679232040478, diff:-0.0002426167909211907, ratio:5.767177385179727e-09
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 7.092705503398339, 2, 8.21179860873411], meas_params:[-0.09580641262816314, -0.28182998325532227], noise_params:[0, 0.0001, 16.852241139140833], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[7.092705503398339, 8.21179860873411, -0.09580641262816314, -0.28182998325532227, 16.852241139140833], encoded_infidelity:1.351474487876203e-12, benchmark_infidelity:0.00028075238636837696, diff:-0.00028075238501690247, ratio:4.8137595742567435e-09
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 6.087548874544833, 2, 7.376316177498754], meas_params:[-0.025687705760682307, -0.08013877293588312], noise_params:[0, 0.0002, 8.00695158146263], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[6.087548874544833, 7.376316177498754, -0.025687705760682307, -0.08013877293588312, 8.00695158146263], encoded_infidelity:1.3183898417423734e-12, benchmark_infidelity:0.0002667915624393613, diff:-0.00026679156112097147, ratio:4.941647440750786e-09
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 6.087793911670962, 2, 8.216563927532277], meas_params:[0.034014143561513575, -0.2783054542263802], noise_params:[0, 0.0002, 8.992749359461799], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[6.087793911670962, 8.216563927532277, 0.034014143561513575, -0.2783054542263802, 8.992749359461799], encoded_infidelity:1.2363443602225743e-12, benchmark_infidelity:0.00029962356980683946, diff:-0.0002996235685704951, ratio:4.126325445690463e-09
