scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.952460197596334, 2, 4.952460197596334], meas_params:[-0.32144368821099156, -0.32144368821099156], noise_params:[0.0001, 0, 5.151500078608576], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.952460197596334, -0.32144368821099156, 5.151500078608576], encoded_infidelity:9.369079758148047e-05, benchmark_infidelity:0.00017168350159224577, diff:-7.79927040107653e-05, ratio:0.5457181191702354
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.925523891400571, 2, 4.925523891400571], meas_params:[-0.3220232021879399, -0.3220232021879399], noise_params:[0.0001, 0, 6.860011109878844], init_params:[4, -0.39269908169872414, 10], optimal_params:[4.925523891400571, -0.3220232021879399, 6.860011109878844], encoded_infidelity:0.00012168583355565143, benchmark_infidelity:0.0002286082235128939, diff:-0.00010692238995724246, ratio:0.5322898349227063
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.9295148905273525, 2, 4.9295148905273525], meas_params:[-0.3223352061350271, -0.3223352061350271], noise_params:[0.0001, 0, 6.844613965335453], init_params:[6, -0.39269908169872414, 15], optimal_params:[4.9295148905273525, -0.3223352061350271, 6.844613965335453], encoded_infidelity:0.00012141413559929592, benchmark_infidelity:0.0002280952490510968, diff:-0.00010668111345180087, ratio:0.532295767248082
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.364856047953079, 2, 4.364856047953079], meas_params:[-0.31738593327870057, -0.31738593327870057], noise_params:[0.0001, 0, 27.010837672309123], init_params:[8, -0.39269908169872414, 20], optimal_params:[4.364856047953079, -0.31738593327870057, 27.010837672309123], encoded_infidelity:0.000676840071370699, benchmark_infidelity:0.0008994499578992565, diff:-0.0002226098865285575, ratio:0.7525044227602364
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.71741476718247, 2, 4.71741476718247], meas_params:[-0.3097616566357301, -0.3097616566357301], noise_params:[0.00015000000000000001, 0, 2.3735836398900965], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.71741476718247, -0.3097616566357301, 2.3735836398900965], encoded_infidelity:0.00012373828104594864, benchmark_infidelity:0.00011866333821952679, diff:5.0749428264218466e-06, ratio:1.0427675717080638
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.730122486620204, 2, 4.730122486620204], meas_params:[-0.3212300045680184, -0.3212300045680184], noise_params:[0.00015000000000000001, 0, 7.100029226058345], init_params:[4, -0.39269908169872414, 10], optimal_params:[4.730122486620204, -0.3212300045680184, 7.100029226058345], encoded_infidelity:0.00024613217620705896, benchmark_infidelity:0.00035485972394366794, diff:-0.00010872754773660898, ratio:0.6936041472154533
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.725885604781803, 2, 4.725885604781803], meas_params:[-0.3212050828495039, -0.3212050828495039], noise_params:[0.00015000000000000001, 0, 7.170523294104893], init_params:[6, -0.39269908169872414, 15], optimal_params:[4.725885604781803, -0.3212050828495039, 7.170523294104893], encoded_infidelity:0.0002485809350218915, benchmark_infidelity:0.0003583815992630468, diff:-0.00010980066424115531, ratio:0.6936208095869252
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.235449697355897, 2, 4.235449697355897], meas_params:[-0.3076021708971559, -0.3076021708971559], noise_params:[0.00015000000000000001, 0, 23.9625130788653], init_params:[8, -0.39269908169872414, 20], optimal_params:[4.235449697355897, -0.3076021708971559, 23.9625130788653], encoded_infidelity:0.001079374594522453, benchmark_infidelity:0.0011965123218429241, diff:-0.00011713772732047101, ratio:0.9021006928369529
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.732253496299851, 2, 4.732253496299851], meas_params:[-0.31716154559490506, -0.31716154559490506], noise_params:[0.00017500000000000003, 0, 6.44612063904313], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.732253496299851, -0.31716154559490506, 6.44612063904313], encoded_infidelity:0.00028997787352513793, benchmark_infidelity:0.00037586468572159415, diff:-8.588681219645622e-05, ratio:0.7714953932648165
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.653237174480905, 2, 4.653237174480905], meas_params:[-0.3209584482998217, -0.3209584482998217], noise_params:[0.00017500000000000003, 0, 7.2063105168044626], init_params:[4, -0.39269908169872414, 10], optimal_params:[4.653237174480905, -0.3209584482998217, 7.2063105168044626], encoded_infidelity:0.00032136676150573695, benchmark_infidelity:0.0004201693850811594, diff:-9.880262357542247e-05, ratio:0.7648504934353133
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.660252830307336, 2, 4.660252830307336], meas_params:[-0.32177181993878434, -0.32177181993878434], noise_params:[0.00017500000000000003, 0, 7.036383456395738], init_params:[6, -0.39269908169872414, 15], optimal_params:[4.660252830307336, -0.32177181993878434, 7.036383456395738], encoded_infidelity:0.0003138604111069254, benchmark_infidelity:0.0004102662333157481, diff:-9.640582220882266e-05, ratio:0.765016434743663
