scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.9752576725197457, 3, 6.807603299890188], meas_params:[-0.1138847285657783, -0.29586424705501113], noise_params:[0.0006, 0, 41.13994516006903], init_params:[4, 6, -0.1, -0.3, 45], optimal_params:[3.9752576725197457, 6.807603299890188, -0.1138847285657783, -0.29586424705501113, 41.13994516006903], encoded_infidelity:0.008562596510718112, benchmark_infidelity:0.008152346084849937, diff:0.00041025042586817495, ratio:1.0503229894312964
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.2627961839757855, 3, 8.702210180614431], meas_params:[-0.12711957109444166, -0.2966256331598688], noise_params:[0.0001, 0, 45.28950576629457], init_params:[6, 8, -0.1, -0.3, 15], optimal_params:[5.2627961839757855, 8.702210180614431, -0.12711957109444166, -0.2966256331598688, 45.28950576629457], encoded_infidelity:0.0004020252040751737, benchmark_infidelity:0.001507089490283775, diff:-0.0011050642862086013, ratio:0.26675602654456504
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.113030969477102, 3, 8.045426077943514], meas_params:[-0.14583451785347332, -0.29284055710369367], noise_params:[0.0002, 0, 30.71630758642681], init_params:[6, 8, -0.1, -0.3, 15], optimal_params:[5.113030969477102, 8.045426077943514, -0.14583451785347332, -0.29284055710369367, 30.71630758642681], encoded_infidelity:0.0010020290737712267, benchmark_infidelity:0.0020430444203823894, diff:-0.0010410153466111627, ratio:0.490458779933762
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.6436065669049675, 3, 7.660919717634043], meas_params:[-0.12607695382109263, -0.2975251172059876], noise_params:[0.0003, 0, 37.34144952133954], init_params:[6, 8, -0.1, -0.3, 15], optimal_params:[4.6436065669049675, 7.660919717634043, -0.12607695382109263, -0.2975251172059876, 37.34144952133954], encoded_infidelity:0.002435356314160919, benchmark_infidelity:0.0037185068250608078, diff:-0.0012831505108998886, ratio:0.6549285583524764
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.332359847982554, 3, 7.302171580362016], meas_params:[-0.12058166692176844, -0.2957929937037527], noise_params:[0.0004, 0, 38.96201299157049], init_params:[5, 7, -0.1, -0.3, 17], optimal_params:[4.332359847982554, 7.302171580362016, -0.12058166692176844, -0.2957929937037527, 38.96201299157049], encoded_infidelity:0.004153504901211469, benchmark_infidelity:0.005164705272067693, diff:-0.0010112003708562245, ratio:0.8042094722567993
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.130208132405505, 3, 7.0364669506916915], meas_params:[-0.11656369251445854, -0.2956241087280169], noise_params:[0.0005, 0, 39.93475329388259], init_params:[5, 7, -0.1, -0.3, 17], optimal_params:[4.130208132405505, 7.0364669506916915, -0.11656369251445854, -0.2956241087280169, 39.93475329388259], encoded_infidelity:0.0061808923585005004, benchmark_infidelity:0.006606230382868783, diff:-0.0004253380243682825, ratio:0.9356156234770036
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.8124996779325304, 3, 6.610899236177211], meas_params:[-0.10981019764199176, -0.29658893413336584], noise_params:[0.0007, 0, 43.533623070053125], init_params:[5, 7, -0.1, -0.3, 19], optimal_params:[3.8124996779325304, 6.610899236177211, -0.10981019764199176, -0.29658893413336584, 43.533623070053125], encoded_infidelity:0.011554737037380192, benchmark_infidelity:0.010042741732132487, diff:0.0015119953052477042, ratio:1.1505560279828728
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.6634190375947577, 3, 6.373311906601433], meas_params:[-0.10715620653625312, -0.29566339700576166], noise_params:[0.0008, 0, 46.16138646681178], init_params:[4, 6, -0.1, -0.3, 19], optimal_params:[3.6634190375947577, 6.373311906601433, -0.10715620653625312, -0.29566339700576166, 46.16138646681178], encoded_infidelity:0.01503574211258274, benchmark_infidelity:0.012140967435285255, diff:0.0028947746772974847, ratio:1.2384303139537638
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.8989244533694962, 3, 6.178710062061329], meas_params:[-0.10274740606550153, -0.2868181658016429], noise_params:[0.0009, 0.0001, 33.26891536166276], init_params:[4, 6, -0.1, -0.3, 23], optimal_params:[3.8989244533694962, 6.178710062061329, -0.10274740606550153, -0.2868181658016429, 33.26891536166276], encoded_infidelity:0.016234989835994473, benchmark_infidelity:0.010415323366857354, diff:0.005819666469137119, ratio:1.5587600369332655
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.709062951515918, 3, 5.9939309612078535], meas_params:[-0.09522443940564856, -0.2873607652269948], noise_params:[0.001, 0.0001, 37.48463741918746], init_params:[4, 6, -0.1, -0.3, 30], optimal_params:[3.709062951515918, 5.9939309612078535, -0.09522443940564856, -0.2873607652269948, 37.48463741918746], encoded_infidelity:0.021089154005570987, benchmark_infidelity:0.01293362499853501, diff:0.008155529007035978, ratio:1.6305679195090126
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.859504285970729, 3, 7.228307709140637], meas_params:[-0.12159048378695889, -0.285672628781856], noise_params:[0.0004, 0.0001, 25.130055343299002], init_params:[5, 8, -0.1, -0.3, 20], optimal_params:[4.859504285970729, 7.228307709140637, -0.12159048378695889, -0.285672628781856, 25.130055343299002], encoded_infidelity:0.0036399024995684703, benchmark_infidelity:0.003754551606393819, diff:-0.00011464910682534857, ratio:0.9694639683124593
