scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.676440946900325, 4, 8.906963264706501], meas_params:[-0.12008493468925072, -0.1394048419871795], noise_params:[0.0001, 0, 5.0036173840635385], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[8.676440946900325, 8.906963264706501, -0.12008493468925072, -0.1394048419871795, 5.0036173840635385], encoded_infidelity:2.5126695835431256e-05, benchmark_infidelity:0.0001667559552508413, diff:-0.00014162925941541005, ratio:0.1506794512833717
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.165789155391314, 4, 8.99178997508221], meas_params:[-0.10615686349145576, -0.17170815722691835], noise_params:[0.0002, 0, 12.586770281430884], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[7.165789155391314, 8.99178997508221, -0.10615686349145576, -0.17170815722691835, 12.586770281430884], encoded_infidelity:0.0002855511290423829, benchmark_infidelity:0.0008383264384294042, diff:-0.0005527753093870214, ratio:0.34062045040278094
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 6.538830134463325, 4, 7.831337609660789], meas_params:[-0.10260535192013626, -0.15668333933689355], noise_params:[0.0004, 0, 9.725762669080812], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[6.538830134463325, 7.831337609660789, -0.10260535192013626, -0.15668333933689355, 9.725762669080812], encoded_infidelity:0.0008763568895741036, benchmark_infidelity:0.001294878589264692, diff:-0.0004185216996905883, ratio:0.6767869179702404
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 5.276994425791855, 4, 7.013351347012076], meas_params:[-0.07632596525854035, -0.16467230523032816], noise_params:[0.0008, 0, 16.17507385161977], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[5.276994425791855, 7.013351347012076, -0.07632596525854035, -0.16467230523032816, 16.17507385161977], encoded_infidelity:0.005193156308013092, benchmark_infidelity:0.004292497401828244, diff:0.000900658906184848, ratio:1.209821654359358
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 5.571699177543318, 4, 7.277834885220965], meas_params:[-0.08034084758368705, -0.16062224057675215], noise_params:[0.0006000000000000001, 0, 15.362475731165429], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[5.571699177543318, 7.277834885220965, -0.08034084758368705, -0.16062224057675215, 15.362475731165429], encoded_infidelity:0.0029625984318005782, benchmark_infidelity:0.0030619020274439412, diff:-9.9303595643363e-05, ratio:0.9675680035633729
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 5.495955231383746, 4, 7.2101118476704755], meas_params:[-0.08033171996424981, -0.164653510909675], noise_params:[0.0007000000000000001, 0, 14.597771576731361], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[5.495955231383746, 7.2101118476704755, -0.08033171996424981, -0.164653510909675, 14.597771576731361], encoded_infidelity:0.003711887003773562, benchmark_infidelity:0.003393131599160326, diff:0.0003187554046132357, ratio:1.0939413622189353
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.506129179261176, 4, 8.971250766277194], meas_params:[-0.0929776724227051, -0.14253403580834278], noise_params:[0.0001, 0.0001, 8.653796588686088], init_params:[8, 8, -0.1, -0.1, 10], optimal_params:[8.506129179261176, 8.971250766277194, -0.0929776724227051, -0.14253403580834278, 8.653796588686088], encoded_infidelity:7.962134733929815e-05, benchmark_infidelity:0.0004325026629395934, diff:-0.00035288131560029523, ratio:0.18409446729908038
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.508160157076926, 4, 8.930734201388582], meas_params:[-0.11618273839248772, -0.14623018776601032], noise_params:[0.0002, 0.0001, 4.824082278978468], init_params:[7, 8, -0.1, -0.1, 10], optimal_params:[8.508160157076926, 8.930734201388582, -0.11618273839248772, -0.14623018776601032, 4.824082278978468], encoded_infidelity:0.0001599288786754416, benchmark_infidelity:0.000401842060865909, diff:-0.00024191318219046742, ratio:0.3979893949648252
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.130414634383214, 4, 8.781917643989352], meas_params:[-0.11309847295729286, -0.1500800015373819], noise_params:[0.00025, 0.0001, 5.348610690648851], init_params:[7, 8, -0.1, -0.1, 10], optimal_params:[8.130414634383214, 8.781917643989352, -0.11309847295729286, -0.1500800015373819, 5.348610690648851], encoded_infidelity:0.0002759168859300942, benchmark_infidelity:0.0005345661647512268, diff:-0.00025864927882113253, ratio:0.5161510475667662
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.666494705544107, 4, 8.467186065366725], meas_params:[-0.10723784495642538, -0.1517031584532907], noise_params:[0.0003, 0.0001, 6.693876797810681], init_params:[6, 8, -0.1, -0.1, 9], optimal_params:[7.666494705544107, 8.467186065366725, -0.10723784495642538, -0.1517031584532907, 6.693876797810681], encoded_infidelity:0.0004913416773487667, benchmark_infidelity:0.0007803178713711167, diff:-0.0002889761940223501, ratio:0.6296686201552932
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.140183419803739, 4, 8.118699433231393], meas_params:[-0.09534866122360029, -0.15110728837614384], noise_params:[0.00035, 0.0001, 8.145627847377142], init_params:[6, 8, -0.1, -0.1, 9], optimal_params:[7.140183419803739, 8.118699433231393, -0.09534866122360029, -0.15110728837614384, 8.145627847377142], encoded_infidelity:0.0007997876147657346, benchmark_infidelity:0.0010848475236686639, diff:-0.0002850599089029293, ratio:0.7372350466921536
