scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[2, 5.48700063263869, 2, 5.48700063263869], meas_params:[0.31226997309605387, 0.31226997309605387], noise_params:[0.0002, 0.001, 3.619260422171271], init_params:[4, 0.39269908169872414, 3], optimal_params:[5.48700063263869, 0.31226997309605387, 3.619260422171271], encoded_infidelity:0.0008218821758676498, benchmark_infidelity:0.0008436650713906646, diff:-2.1782895523014822e-05
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[2, 5.515552650935609, 2, 5.515552650935609], meas_params:[0.3119919877485565, 0.3119919877485565], noise_params:[0.0002, 0.001, 3.548071611951028], init_params:[4, 0.39269908169872414, 1], optimal_params:[5.515552650935609, 0.3119919877485565, 3.548071611951028], encoded_infidelity:0.0008061694353654891, benchmark_infidelity:0.000827086630315832, diff:-2.0917194950342832e-05
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[2, 4.85, 2, 4.85], meas_params:[0.3469, 0.3469], noise_params:[0.001, 0.01, 1], init_params:[3, 0.39269908169872414, 1], optimal_params:[3.03663891, 0.02773598, 0.98341895], encoded_infidelity:0.030691493737221354, benchmark_infidelity:0.0019618902581258757, diff:0.028729603479095478
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[2, 4.85, 2, 4.85], meas_params:[0.3469, 0.3469], noise_params:[0.001, 0.01, 1], init_params:[3, 0.39269908169872414, 3], optimal_params:[3.11974606, 0.05694875, 3.75503141], encoded_infidelity:0.051807172647641564, benchmark_infidelity:0.007438287336245408, diff:0.044368885311396156
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[2, 4.85, 2, 4.85], meas_params:[0.3469, 0.3469], noise_params:[0.0001, 0.01, 1], init_params:[4, 0.39269908169872414, 1], optimal_params:[4.34675134, 0.02323538, 0.28949713], encoded_infidelity:0.006061351203236032, benchmark_infidelity:0.0004917890000601943, diff:0.005569562203175837
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[2, 4.85, 2, 4.85], meas_params:[0.3469, 0.3469], noise_params:[0.0001, 0.01, 1], init_params:[4, 0.39269908169872414, 3], optimal_params:[5.00572211, 0.03203918, 0.80592395], encoded_infidelity:0.007541663379615038, benchmark_infidelity:0.0013673132168477986, diff:0.006174350162767239
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[2, 4.85, 2, 4.85], meas_params:[0.3469, 0.3469], noise_params:[0.0001, 0.001, 1], init_params:[4, 0.39269908169872414, 3], optimal_params:[5.81110772, 0.28396934, 8.34724145], encoded_infidelity:0.0010273937155420576, benchmark_infidelity:0.0016658827580829927, diff:-0.0006384890425409351
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[2, 4.85, 2, 4.85], meas_params:[0.3469, 0.3469], noise_params:[0.0001, 0.01, 1], init_params:[5, 0.39269908169872414, 5], optimal_params:[3.99267181, 0.03099072, 0.44363368], encoded_infidelity:0.0066248859311338615, benchmark_infidelity:0.000753341183373224, diff:0.0058715447477606375
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[2, 4.85, 2, 4.85], meas_params:[0.3469, 0.3469], noise_params:[0.0005, 0.001, 1], init_params:[4, 0.39269908169872414, 3], optimal_params:[5.16173216, 0.3285346, 1.73456267], encoded_infidelity:0.001744422648974009, benchmark_infidelity:0.0005778429483723757, diff:0.0011665797006016332
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[3, 6.792092891086131, 3, 6.792092891086131], meas_params:[0.09910889932770683, 0.09910889932770683], noise_params:[0.0001, 0.001, 1.542474083508207], init_params:[4, 0.34906585039886584, 1], optimal_params:[6.792092891086131, 0.09910889932770683, 1.542474083508207], encoded_infidelity:0.0002773656876574604, benchmark_infidelity:0.0003083729153700032, diff:-3.100722771254283e-05
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[3, 7.045448144507734, 3, 7.045448144507734], meas_params:[0.10209420046004208, 0.10209420046004208], noise_params:[0.0001, 0.001, 4.0586987097793354], init_params:[4, 0.34906585039886584, 3], optimal_params:[7.04544814, 0.1020942, 4.05869871], encoded_infidelity:0.0006328665699948388, benchmark_infidelity:0.0008108961183959096, diff:-0.00017802954840107077
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[3, 7.026470113639134, 3, 7.026470113639134], meas_params:[0.10091516449421557, 0.10091516449421557], noise_params:[0.0001, 0.001, 4.110157178316554], init_params:[4, 0.34906585039886584, 4], optimal_params:[7.02647011, 0.10091516, 4.11015718], encoded_infidelity:0.0006430151068933521, benchmark_infidelity:0.000821166292674369, diff:-0.00017815118578101696
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[3, 7.038564330213099, 3, 7.038564330213099], meas_params:[0.10059660248639546, 0.10059660248639546], noise_params:[0.0001, 0.001, 4.122721800051933], init_params:[5, 0.34906585039886584, 5], optimal_params:[7.03856433, 0.1005966, 4.1227218 ], encoded_infidelity:0.0006455734631630738, benchmark_infidelity:0.0008236739214843025, diff:-0.00017810045832122867
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[3, 6.920574056905437, 3, 6.920574056905437], meas_params:[0.12242523247774839, 0.12242523247774839], noise_params:[0.0002, 0.001, 1.8044977642075057], init_params:[4, 0.34906585039886584, 3], optimal_params:[6.92057406, 0.12242523, 1.80449776], encoded_infidelity:0.0007578372755849827, benchmark_infidelity:0.0004208433233401365, diff:0.0003369939522448462
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[3, 6.52304927033169, 3, 6.52304927033169], meas_params:[0.1194837092161911, 0.1194837092161911], noise_params:[0.0002, 0.001, 0.9654828344646478], init_params:[3, 0.34906585039886584, 1], optimal_params:[6.52304927, 0.11948371, 0.96548283], encoded_infidelity:0.0005497971200942864, benchmark_infidelity:0.0002252203024234456, diff:0.0003245768176708408
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[2, 4.85, 2, 4.85], meas_params:[0.3469, 0.3469], noise_params:[0.0004, 0.001, 1], init_params:[4, 0.39269908169872414, 3], optimal_params:[5.32519216, 0.33936434, 0.35760993], encoded_infidelity:0.0008157823000288777, benchmark_infidelity:0.00010727083120920522, diff:0.0007085114688196725
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:SDP, code_params:[2, 4.85, 2, 4.85], meas_params:[0.3469, 0.3469], noise_params:[0.0003, 0.001, 1], init_params:[4, 0.39269908169872414, 3], optimal_params:[5.30227543, 0.32122421, 1.79502419], encoded_infidelity:0.0008408212705633966, benchmark_infidelity:0.00047842215333471216, diff:0.00036239911722868445
