scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.378504039839715, 1, 9], meas_params:[-0.27771509971611485, 0], noise_params:[0.0001, 0.0001, 7.697112106599491], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.378504039839715, -0.27771509971611485, 7.697112106599491], encoded_infidelity:0.0001627463654847567, benchmark_infidelity:0.00038470752948749354, diff:-0.00022196116400273683, ratio:0.42303919993863137
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.209334551034962, 1, 9], meas_params:[-0.2628898948122106, 0], noise_params:[0.0001, 0.0001, 11.675800081737066], init_params:[4, -0.39269908169872414, 10], optimal_params:[4.209334551034962, -0.2628898948122106, 11.675800081737066], encoded_infidelity:0.00025430072328758835, benchmark_infidelity:0.000583449325920804, diff:-0.00032914860263321566, ratio:0.43585742923989
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.847230274906269, 1, 9], meas_params:[-0.22778097236440265, 0], noise_params:[0.0001, 0.0001, 19.579751422522655], init_params:[6, -0.39269908169872414, 15], optimal_params:[3.847230274906269, -0.22778097236440265, 19.579751422522655], encoded_infidelity:0.00045651942420412973, benchmark_infidelity:0.0009780297796740944, diff:-0.0005215103554699646, ratio:0.4667745642226295
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.7818223333384804, 1, 9], meas_params:[-0.24157220073604446, 0], noise_params:[0.0002, 0.0001, 10.82716399289615], init_params:[2, -0.39269908169872414, 5], optimal_params:[3.7818223333384804, -0.24157220073604446, 10.82716399289615], encoded_infidelity:0.000659894976518216, benchmark_infidelity:0.0009014338245439957, diff:-0.00024153884802577972, ratio:0.7320503830129007
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.743857308478269, 1, 9], meas_params:[-0.24380565382804437, 0], noise_params:[0.0002, 0.0001, 12.12371152206925], init_params:[4, -0.39269908169872414, 10], optimal_params:[3.743857308478269, -0.24380565382804437, 12.12371152206925], encoded_infidelity:0.0007373579000169094, benchmark_infidelity:0.001009268883871428, diff:-0.0002719109838545187, ratio:0.7305861815421254
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.217971264292107, 1, 9], meas_params:[-0.16503261291163718, 0], noise_params:[0.0002, 0.0001, 21.93203395539993], init_params:[6, -0.39269908169872414, 15], optimal_params:[3.217971264292107, -0.16503261291163718, 21.93203395539993], encoded_infidelity:0.0013373931626209068, benchmark_infidelity:0.001824266631198057, diff:-0.00048687346857715025, ratio:0.733112769673694
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.425225505465696, 1, 9], meas_params:[-0.03034971720584745, 0], noise_params:[0.0004, 0.0001, 47.328380712108014], init_params:[2, -0.39269908169872414, 5], optimal_params:[2.425225505465696, -0.03034971720584745, 47.328380712108014], encoded_infidelity:0.006243693652550611, benchmark_infidelity:0.007046337022099891, diff:-0.0008026433695492805, ratio:0.8860906926489753
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.4326707471082907, 1, 9], meas_params:[-0.038404328026114085, 0], noise_params:[0.0004, 0.0001, 48.345439760926936], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.4326707471082907, -0.038404328026114085, 48.345439760926936], encoded_infidelity:0.006359330516175174, benchmark_infidelity:0.0071966032353038, diff:-0.0008372727191286265, ratio:0.88365723498257
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.4198682273382572, 1, 9], meas_params:[-0.03512002498985478, 0], noise_params:[0.0004, 0.0001, 52.97049638997187], init_params:[6, -0.39269908169872414, 15], optimal_params:[2.4198682273382572, -0.03512002498985478, 52.97049638997187], encoded_infidelity:0.006974906465888496, benchmark_infidelity:0.0078793263897049, diff:-0.0009044199238164036, ratio:0.8852160858575276
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.155271155359509, 1, 9], meas_params:[-0.02497954213257704, 0], noise_params:[0.0008, 0.0001, 53.282895748638964], init_params:[2, -0.39269908169872414, 5], optimal_params:[2.155271155359509, -0.02497954213257704, 53.282895748638964], encoded_infidelity:0.016064348368389957, benchmark_infidelity:0.014852475015802669, diff:0.001211873352587288, ratio:1.081594034078353
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.1469199630976634, 1, 9], meas_params:[-0.026471866042305822, 0], noise_params:[0.0008, 0.0001, 54.278025044311136], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.1469199630976634, -0.026471866042305822, 54.278025044311136], encoded_infidelity:0.016362374495034755, benchmark_infidelity:0.015125271605858637, diff:0.0012371028891761185, ratio:1.0817904578121387
