scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.818202676368163, 1, 9], meas_params:[-0.05353616364765953, 0], noise_params:[0.0004, 0.0001, 1.7396686517762827], init_params:[2, -0.2945243112740431, 5], optimal_params:[5.818202676368163, -0.05353616364765953, 1.7396686517762827], encoded_infidelity:0.00022933483677006566, benchmark_infidelity:0.0002608784335778047, diff:-3.154359680773906e-05, ratio:0.8790869893876013
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.70621912874619, 1, 9], meas_params:[-0.06430049270509915, 0], noise_params:[0.0004, 0.0001, 13.607300010725545], init_params:[4, -0.2945243112740431, 10], optimal_params:[6.70621912874619, -0.06430049270509915, 13.607300010725545], encoded_infidelity:0.0003387615469697306, benchmark_infidelity:0.0020367041427896693, diff:-0.0016979425958199386, ratio:0.16632830456451553
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.9316077640809635, 1, 9], meas_params:[-0.06686783745094094, 0], noise_params:[0.0004, 0.0001, 9.972266819636525], init_params:[6, -0.2945243112740431, 15], optimal_params:[6.9316077640809635, -0.06686783745094094, 9.972266819636525], encoded_infidelity:0.00022530588673042013, benchmark_infidelity:0.0014934807995278243, diff:-0.0012681749127974042, ratio:0.15085958038540057
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.434434091546747, 1, 9], meas_params:[-0.0062055808406509365, 0], noise_params:[0.0008, 0.0001, 2.0908947677984555], init_params:[2, -0.2945243112740431, 5], optimal_params:[4.434434091546747, -0.0062055808406509365, 2.0908947677984555], encoded_infidelity:0.0021379564229374527, benchmark_infidelity:0.0005920396459457855, diff:0.0015459167769916672, ratio:3.611171038253797
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.517975038098708, 1, 9], meas_params:[-0.04152794688636526, 0], noise_params:[0.0008, 0.0001, 14.617562371758503], init_params:[4, -0.2945243112740431, 10], optimal_params:[5.517975038098708, -0.04152794688636526, 14.617562371758503], encoded_infidelity:0.001404220687228165, benchmark_infidelity:0.0041230953816103755, diff:-0.00271887469438221, ratio:0.34057438823540204
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.340854806708355, 1, 9], meas_params:[-0.046859729337528105, 0], noise_params:[0.0008, 0.0001, 16.34220708109639], init_params:[6, -0.2945243112740431, 15], optimal_params:[5.340854806708355, -0.046859729337528105, 16.34220708109639], encoded_infidelity:0.001674713233322282, benchmark_infidelity:0.004607118782754882, diff:-0.0029324055494326, ratio:0.3635055470223555
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.112107324194881, 1, 9], meas_params:[-0.04975320106527024, 0], noise_params:[0.0016, 0.0001, 8.954492293359035], init_params:[2, -0.2945243112740431, 5], optimal_params:[5.112107324194881, -0.04975320106527024, 8.954492293359035], encoded_infidelity:0.0028452117681815976, benchmark_infidelity:0.004898315558235722, diff:-0.0020531037900541243, ratio:0.5808551397628592
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.9429183865752, 1, 9], meas_params:[-0.04356867591602416, 0], noise_params:[0.0016, 0.0001, 11.111427130763431], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.9429183865752, -0.04356867591602416, 11.111427130763431], encoded_infidelity:0.003573130512324516, benchmark_infidelity:0.006070280965036701, diff:-0.0024971504527121846, ratio:0.5886268745886482
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.658241290113093, 1, 9], meas_params:[-0.03974415585688322, 0], noise_params:[0.0016, 0.0001, 15.416427554664565], init_params:[6, -0.2945243112740431, 15], optimal_params:[4.658241290113093, -0.03974415585688322, 15.416427554664565], encoded_infidelity:0.005308255387224083, benchmark_infidelity:0.008400252966482502, diff:-0.003091997579258419, ratio:0.6319161349550223
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.27489626778063, 1, 9], meas_params:[-0.0399481830189642, 0], noise_params:[0.0032, 0.0001, 8.888960347037465], init_params:[2, -0.2945243112740431, 5], optimal_params:[4.27489626778063, -0.0399481830189642, 8.888960347037465], encoded_infidelity:0.009563283836492378, benchmark_infidelity:0.00952723907429931, diff:3.604476219306804e-05, ratio:1.0037833376397893
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 3.6901635364979235, 1, 9], meas_params:[-0.023207711695827762, 0], noise_params:[0.0032, 0.0001, 19.176071285429575], init_params:[4, -0.2945243112740431, 10], optimal_params:[3.6901635364979235, -0.023207711695827762, 19.176071285429575], encoded_infidelity:0.02143723857501476, benchmark_infidelity:0.02030150138049347, diff:0.0011357371945212892, ratio:1.0559435074891828
