scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.356021706920975, 2, 4.6762302825793665], meas_params:[-0.19617936021171456, -0.35788047207296225], noise_params:[0.0001, 0, 18.38821067925715], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[4.356021706920975, 4.6762302825793665, -0.19617936021171456, -0.35788047207296225, 18.38821067925715], encoded_infidelity:0.0003645795356021754, benchmark_infidelity:0.0006125179139075954, diff:-0.00024793837830541993, ratio:0.5952144865059016
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.500079473302698, 2, 5.182645230732124], meas_params:[-0.3045416259604311, -0.3340464254127148], noise_params:[0.0001, 0, 8.4921366604726], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[4.500079473302698, 5.182645230732124, -0.3045416259604311, -0.3340464254127148, 8.4921366604726], encoded_infidelity:9.97712450564072e-05, benchmark_infidelity:0.00028298109779567593, diff:-0.00018320985273926872, ratio:0.35257211818595097
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.9803052928533917, 2, 3.9689858288595365], meas_params:[-0.16213209676857732, -0.30117569621083856], noise_params:[0.0001, 0, 59.83267821119216], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[2.9803052928533917, 3.9689858288595365, -0.16213209676857732, -0.30117569621083856, 59.83267821119216], encoded_infidelity:0.0010750567853961236, benchmark_infidelity:0.00198995509774047, diff:-0.0009148983123443465, ratio:0.5402417303871911
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.274166307609486, 2, 5.134148919323438], meas_params:[-0.29558020629869064, -0.335300334639713], noise_params:[0.0001, 0, 13.693139189830259], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[4.274166307609486, 5.134148919323438, -0.29558020629869064, -0.335300334639713, 13.693139189830259], encoded_infidelity:0.00016522880518122796, benchmark_infidelity:0.0004562036845398021, diff:-0.0002909748793585741, ratio:0.36218209273759683
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.9881330637708636, 2, 4.177952628144119], meas_params:[-0.09734834595841581, -0.3272572790037167], noise_params:[0.0002, 0, 25.641840289406986], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[2.9881330637708636, 4.177952628144119, -0.09734834595841581, -0.3272572790037167, 25.641840289406986], encoded_infidelity:0.0017284660305580683, benchmark_infidelity:0.0017061731772533006, diff:2.2292853304767702e-05, ratio:1.0130659968178939
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.180956498690258, 2, 4.861912907645017], meas_params:[-0.2997314295643415, -0.3287591200931512], noise_params:[0.0002, 0, 8.132623397922494], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[4.180956498690258, 4.861912907645017, -0.2997314295643415, -0.3287591200931512, 8.132623397922494], encoded_infidelity:0.0002924945399568646, benchmark_infidelity:0.0005418443447365862, diff:-0.00024934980477972154, ratio:0.5398128499413587
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.680562748971518, 2, 3.265676134786421], meas_params:[-0.014840186419468146, -0.17438555983008275], noise_params:[0.0002, 0, 25.396850176809792], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[2.680562748971518, 3.265676134786421, -0.014840186419468146, -0.17438555983008275, 25.396850176809792], encoded_infidelity:0.0030016791754707713, benchmark_infidelity:0.001689902890199435, diff:0.0013117762852713362, ratio:1.7762435894269204
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.951134761573683, 2, 4.752120106539539], meas_params:[-0.2853668540682529, -0.3241895260483922], noise_params:[0.0002, 0, 12.650119368232811], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[3.951134761573683, 4.752120106539539, -0.2853668540682529, -0.3241895260483922, 12.650119368232811], encoded_infidelity:0.00045404992763367993, benchmark_infidelity:0.000842541725612711, diff:-0.0003884917979790311, ratio:0.5389049750663528
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.620386016796504, 2, 3.2994516158888723], meas_params:[0.027621247522497436, -0.2847546669528086], noise_params:[0.0004, 0, 18.73219743873988], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[2.620386016796504, 3.2994516158888723, 0.027621247522497436, -0.2847546669528086, 18.73219743873988], encoded_infidelity:0.004623101462034933, benchmark_infidelity:0.0024906230029095866, diff:0.0021324784591253464, ratio:1.8562028282217542
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.7682362764765873, 2, 4.5387959460821605], meas_params:[-0.2929199767660118, -0.3381679908033617], noise_params:[0.0004, 0, 9.45054483723839], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[3.7682362764765873, 4.5387959460821605, -0.2929199767660118, -0.3381679908033617, 9.45054483723839], encoded_infidelity:0.0009833620476324258, benchmark_infidelity:0.0012582882630930436, diff:-0.00027492621546061787, ratio:0.7815077645365524
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.4479698672328762, 2, 3.635297606761746], meas_params:[-0.04991803483133894, -0.3118736146738843], noise_params:[0.0004, 0, 55.03966931965141], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[2.4479698672328762, 3.635297606761746, -0.04991803483133894, -0.3118736146738843, 55.03966931965141], encoded_infidelity:0.006053598392243492, benchmark_infidelity:0.007278403966968994, diff:-0.0012248055747255014, ratio:0.831720583209734
