scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.446074195518888, 4, 8.621239315683013], meas_params:[-0.06572566959249108, -0.1267481793815327], noise_params:[0.0001, 0.0001, 8.90720616589823], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[7.446074195518888, 8.621239315683013, -0.06572566959249108, -0.1267481793815327, 8.90720616589823], encoded_infidelity:0.00011931588491038978, benchmark_infidelity:0.00044516202136823946, diff:-0.00032584613645784966, ratio:0.2680279969608892
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.616102381625037, 4, 8.333148994166834], meas_params:[-0.05052450341279058, -0.13314285118753832], noise_params:[0.0001, 0.0001, 13.73565980173015], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[6.616102381625037, 8.333148994166834, -0.05052450341279058, -0.13314285118753832, 13.73565980173015], encoded_infidelity:0.00023339574439710018, benchmark_infidelity:0.0006863115350941307, diff:-0.0004529157906970305, ratio:0.34007259453258193
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.148079912498906, 4, 8.994480116743741], meas_params:[-0.09271508047763358, -0.13825961179088755], noise_params:[0.0001, 0.0001, 6.318579765804209], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[8.148079912498906, 8.994480116743741, -0.09271508047763358, -0.13825961179088755, 6.318579765804209], encoded_infidelity:7.468730474023176e-05, benchmark_infidelity:0.00031582919818351485, diff:-0.0002411418934432831, ratio:0.23648005051399382
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.2564801577285305, 4, 8.97732527924963], meas_params:[-0.06475514485639705, -0.16088549622532805], noise_params:[0.0001, 0.0001, 17.968627285296627], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[7.2564801577285305, 8.97732527924963, -0.06475514485639705, -0.16088549622532805, 17.968627285296627], encoded_infidelity:0.00034292864748228653, benchmark_infidelity:0.0008976246685944433, diff:-0.0005546960211121569, ratio:0.3820401326751253
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.230869207634473, 4, 7.1609465069838], meas_params:[-0.04654462688047484, -0.09616421306875741], noise_params:[0.0002, 0.0001, 5.841219053040366], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[6.230869207634473, 7.1609465069838, -0.04654462688047484, -0.09616421306875741, 5.841219053040366], encoded_infidelity:0.00038698157231723695, benchmark_infidelity:0.00048652665385728877, diff:-9.954508154005182e-05, ratio:0.7953964479626412
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.965771120218233, 4, 8.250748645099328], meas_params:[-0.07446187911833885, -0.1272115289493463], noise_params:[0.0002, 0.0001, 6.211988303895242], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[6.965771120218233, 8.250748645099328, -0.07446187911833885, -0.1272115289493463, 6.211988303895242], encoded_infidelity:0.0002953869873309979, benchmark_infidelity:0.0005173924528559803, diff:-0.00022200546552498244, ratio:0.5709147586140396
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.917739844650017, 4, 8.827319541234854], meas_params:[-0.07909966864379858, -0.1483566913040094], noise_params:[0.0002, 0.0001, 8.339461097160118], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[6.917739844650017, 8.827319541234854, -0.07909966864379858, -0.1483566913040094, 8.339461097160118], encoded_infidelity:0.0003933796136073508, benchmark_infidelity:0.0006944627071426845, diff:-0.0003010830935353337, ratio:0.566451746884843
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.101619922865048, 4, 8.857846417754818], meas_params:[-0.0820414326874947, -0.15172684774398798], noise_params:[0.0002, 0.0001, 6.0884965218938305], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[7.101619922865048, 8.857846417754818, -0.0820414326874947, -0.15172684774398798, 6.0884965218938305], encoded_infidelity:0.0002848006552631354, benchmark_infidelity:0.0005071122249281634, diff:-0.00022231156966502803, ratio:0.5616126791332623
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.196651016829568, 4, 7.451915941199195], meas_params:[-0.0711095612926588, -0.1270812452382022], noise_params:[0.0004, 0.0001, 6.466493272568238], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[6.196651016829568, 7.451915941199195, -0.0711095612926588, -0.1270812452382022, 6.466493272568238], encoded_infidelity:0.0011280323453522192, benchmark_infidelity:0.0009689815869514673, diff:0.0001590507584007519, ratio:1.164142188605611
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.10459204661046, 4, 8.052633551024707], meas_params:[-0.07442925628457844, -0.15171421297296855], noise_params:[0.0004, 0.0001, 9.315277060143593], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[6.10459204661046, 8.052633551024707, -0.07442925628457844, -0.15171421297296855, 9.315277060143593], encoded_infidelity:0.0016398976571921355, benchmark_infidelity:0.0013952328042909912, diff:0.00024466485290114436, ratio:1.1753577267884512
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.321837997026147, 4, 7.7246616155830905], meas_params:[-0.08377715821082073, -0.12732852685764492], noise_params:[0.0004, 0.0001, 6.661994126057632], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[6.321837997026147, 7.7246616155830905, -0.08377715821082073, -0.12732852685764492, 6.661994126057632], encoded_infidelity:0.0011669306706921453, benchmark_infidelity:0.0009982458243191772, diff:0.00016868484637296813, ratio:1.1689812692059238
